AL, D0, 2010102112, 03, AP19,  30, 151N,  250W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  36, 162N,  259W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  42, 173N,  270W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  48, 185N,  279W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  54, 194N,  284W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  60, 201N,  293W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  66, 208N,  301W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  72, 217N,  307W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  78, 227N,  302W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP19,  84, 223N,  301W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP20,   0,  95N,  216W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP20,   6,  98N,  227W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  12, 109N,  244W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  24, 122N,  263W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  36, 143N,  282W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  48, 170N,  304W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  60, 202N,  331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  72, 230N,  357W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  84, 248N,  372W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD,  96, 252N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 108, 255N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 120, 257N,  373W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 132, 266N,  371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 144, 276N,  372W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 156, 284N,  375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMD, 168, 289N,  378W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  12, 109N,  244W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  24, 120N,  261W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  36, 134N,  278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  48, 150N,  296W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  60, 169N,  316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  72, 191N,  337W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  84, 213N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM,  96, 227N,  366W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 108, 234N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 120, 237N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 132, 241N,  388W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 144, 244N,  396W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 156, 249N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMM, 168, 253N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  12, 108N,  246W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  24, 115N,  267W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  36, 124N,  288W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  48, 136N,  310W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  60, 149N,  331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  72, 164N,  352W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  84, 180N,  370W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS,  96, 192N,  385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 108, 201N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 120, 208N,  414W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 132, 214N,  428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 144, 217N,  442W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 156, 219N,  457W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, BAMS, 168, 221N,  473W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,   0,  92N,  222W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,   6,  99N,  226W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  12, 104N,  231W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  18, 109N,  236W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  24, 117N,  245W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
