AL, D1, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080106, 01, CARQ, -18,  87N,  337W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080106, 01, CARQ, -12,  88N,  342W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 283,   5, 
AL, D1, 2010080106, 01, CARQ,  -6,  89N,  346W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080106, 01, CARQ,   0,  90N,  350W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1010,  180,  50,   0,   0,   L,   0,   X, 280,   4,     INVEST, M, 
AL, D1, 2010080106, 01, CARQ,   0,  90N,  350W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1010,  180,  50,   0,   0,   L,   0,   X, 280,   4,     INVEST, M, 
AL, D1, 2010080106, 01, CARQ,   0,  90N,  350W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1010,  180,  50,   0,   0,   L,   0,   X, 280,   4,     INVEST, M, 
AL, D1, 2010080106, 03, AC00,   0,  97N,  358W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,   6,  97N,  359W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  12,  99N,  366W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  18,  98N,  369W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  24,  99N,  365W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  30, 113N,  371W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  36, 120N,  395W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  42, 128N,  424W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  48, 130N,  450W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  54, 135N,  475W,  29, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080106, 03, AC00,  60, 154N,  496W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
