AL, B8, 2010083100, 03, BAMS,  24, 110N,  308W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  36, 114N,  333W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  48, 118N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  60, 121N,  376W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  72, 124N,  393W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  84, 128N,  411W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS,  96, 132N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 108, 137N,  452W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 120, 143N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 132, 148N,  502W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 144, 156N,  528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 156, 162N,  558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMS, 168, 168N,  587W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CEMN,   0,  99N,  261W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CEMN,   6, 105N,  269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CEMN,  12, 112N,  283W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CEMN,  18, 110N,  289W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLIP,  12, 109N,  297W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLIP,  24, 115N,  329W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLIP,  36, 122N,  362W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLIP,  48, 130N,  395W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLIP,  72, 149N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  12, 109N,  295W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  24, 115N,  324W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  36, 122N,  352W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  48, 130N,  380W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  60, 135N,  408W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  72, 140N,  435W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  84, 149N,  463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5,  96, 161N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5, 108, 174N,  511W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, CLP5, 120, 187N,  533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,   0, 103N,  266W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  12, 107N,  292W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  24, 112N,  315W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  36, 117N,  338W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  48, 122N,  357W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  60, 126N,  373W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  72, 129N,  387W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  84, 134N,  402W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP,  96, 140N,  419W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP, 108, 146N,  439W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, DSHP, 120, 152N,  460W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  12,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  24,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  48,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  60,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  72,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  84,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN,  96,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN, 108,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, IVCN, 120,   0N,    0W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,   0, 103N,  266W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  12, 108N,  295W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  24, 116N,  324W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  36, 121N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  48, 128N,  382W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  60, 128N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  72, 131N,  425W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  84, 136N,  437W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR,  96, 148N,  448W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR, 108, 158N,  458W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LBAR, 120, 134N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,   0, 103N,  266W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
