AL, 19, 2010101700, 01, CARQ, -24,  98N,  787W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 19, 2010101700, 01, CARQ, -18,  98N,  793W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 19, 2010101700, 01, CARQ, -12,  98N,  798W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 264,   5, 
AL, 19, 2010101700, 01, CARQ,  -6,  97N,  803W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 19, 2010101700, 01, CARQ,   0,  95N,  808W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1011,  180,  60,   0,   0,   L,   0,   X, 260,   5,     INVEST, D, 
AL, 19, 2010101700, 01, CARQ,   0,  95N,  808W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1011,  180,  60,   0,   0,   L,   0,   X, 260,   5,     INVEST, D, 
AL, 19, 2010101700, 01, CARQ,   0,  95N,  808W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1011,  180,  60,   0,   0,   L,   0,   X, 260,   5,     INVEST, D, 
AL, 19, 2010101700, 03,  NGX,   0, 101N,  792W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  12,  98N,  791W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  24,  96N,  789W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  36,  92N,  801W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  48, 103N,  812W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  60, 109N,  831W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  72, 110N,  829W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  84, 110N,  825W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX,  96, 108N,  826W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03,  NGX, 108, 108N,  831W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,   0,  94N,  799W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,   6, 102N,  797W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  12, 106N,  798W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  18, 109N,  800W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  24, 110N,  809W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  30, 116N,  816W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  36, 118N,  822W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 19, 2010101700, 03, AEMN,  42, 120N,  825W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
