AL, 18, 2010100818, 01, CARQ, -24, 167N,  801W,  25,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100818, 01, CARQ, -18, 153N,  797W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100818, 01, CARQ, -12, 144N,  793W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 154,   9, 
AL, 18, 2010100818, 01, CARQ,  -6, 137N,  789W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100818, 01, CARQ,   0, 132N,  786W,  20, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1011,  220,  60,   0,   0,   L,   0,   X, 170,   5,     INVEST, S, 
AL, 18, 2010100818, 01, CARQ,   0, 132N,  786W,  20, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1011,  220,  60,   0,   0,   L,   0,   X, 170,   5,     INVEST, S, 
AL, 18, 2010100818, 01, CARQ,   0, 132N,  786W,  20, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1011,  220,  60,   0,   0,   L,   0,   X, 170,   5,     INVEST, S, 
AL, 18, 2010100818, 03, BAMD,  12, 137N,  789W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  24, 143N,  794W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  36, 148N,  800W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  48, 155N,  806W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  60, 161N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  72, 166N,  823W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  84, 173N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
