EP, A5, 2010062018, 03, CLP5,  84, 131N, 1013W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, CLP5,  96, 136N, 1030W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, CLP5, 108, 141N, 1050W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, CLP5, 120, 146N, 1066W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,   0,  80N,  890W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  12,  84N,  903W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  24,  86N,  918W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  36,  87N,  936W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  48,  91N,  959W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  60,  98N,  986W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  72, 109N, 1015W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  84, 122N, 1042W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP,  96, 132N, 1065W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP, 108, 138N, 1082W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, DSHP, 120, 140N, 1096W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  12,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  24,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  36,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  48,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  60,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  72,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  84,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN,  96,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN, 108,   0N,    0W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, IVCN, 120,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,   0,  80N,  890W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  12,  83N,  911W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  24,  88N,  936W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  36,  97N,  964W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  48, 109N,  995W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  60, 123N, 1028W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  72, 137N, 1062W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  84, 156N, 1091W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR,  96, 168N, 1114W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR, 108, 188N, 1111W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LBAR, 120, 191N, 1115W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,   0,  80N,  890W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  12,  84N,  903W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  24,  86N,  918W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  36,  87N,  936W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  48,  91N,  959W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  60,  98N,  986W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  72, 109N, 1015W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  84, 122N, 1042W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM,  96, 132N, 1065W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM, 108, 138N, 1082W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, LGEM, 120, 140N, 1096W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  12,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  24,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  36,   0N,    0W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  48,   0N,    0W,  89,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  60,   0N,    0W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  72,   0N,    0W,  75,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  84,   0N,    0W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5,  96,   0N,    0W,  73,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5, 108,   0N,    0W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHF5, 120,   0N,    0W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  12,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  24,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  36,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  48,   0N,    0W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  60,   0N,    0W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHFR,  72,   0N,    0W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,   0,  80N,  890W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  12,  84N,  903W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  24,  86N,  918W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  36,  87N,  936W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  48,  91N,  959W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  60,  98N,  986W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  72, 109N, 1015W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  84, 122N, 1042W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP,  96, 132N, 1065W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP, 108, 138N, 1082W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, SHIP, 120, 140N, 1096W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,   0,  80N,  890W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  12,  80N,  909W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  24,  80N,  929W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  36,  80N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  48,  80N,  969W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  60,  80N,  989W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  72,  80N, 1009W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  84,  80N, 1029W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP,  96,  80N, 1049W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP, 108,  80N, 1069W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, XTRP, 120,  80N, 1089W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062100, 01, CARQ, -24,  78N,  860W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A5, 2010062100, 01, CARQ, -18,  78N,  870W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A5, 2010062100, 01, CARQ, -12,  78N,  880W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 270,  10, 
EP, A5, 2010062100, 01, CARQ,  -6,  78N,  890W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
