AL, D5, 2010122018, 03, BAMD,  60, 179N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD,  72, 210N,  470W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD,  84, 231N,  333W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD,  96, 221N,  284W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 108, 208N,  274W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 120, 195N,  270W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 132, 184N,  268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 144, 173N,  264W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 156, 163N,  253W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMD, 168, 169N,  221W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  12, 120N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  24, 125N,  582W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  36, 130N,  596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  48, 136N,  609W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  60, 141N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  72, 148N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  84, 159N,  623W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM,  96, 176N,  607W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 108, 200N,  552W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 120, 222N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 132, 235N,  363W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 144, 227N,  319W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 156, 216N,  309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMM, 168, 205N,  308W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  12, 121N,  570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  24, 126N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  36, 131N,  610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  48, 135N,  629W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  60, 138N,  644W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  72, 140N,  657W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  84, 141N,  667W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS,  96, 141N,  679W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 108, 143N,  692W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 120, 149N,  707W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 132, 156N,  720W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 144, 165N,  728W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 156, 170N,  736W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, BAMS, 168, 181N,  746W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLIP,  12, 122N,  575W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
