EP, A6, 2010071118, 03, AP10,   0, 116N,  930W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP12,   0, 116N,  929W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP12,   6, 112N,  941W,   8, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP13,   0, 116N,  932W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,   0, 119N,  929W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,   6, 125N,  941W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  12, 128N,  951W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  18, 131N,  961W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  24, 128N,  978W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  30, 132N,  986W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  36, 133N,  993W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  42, 138N, 1003W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  48, 136N, 1009W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  54, 132N, 1020W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  60, 128N, 1027W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  66, 128N, 1038W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  72, 131N, 1044W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  78, 137N, 1058W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP15,  84, 136N, 1076W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AVNO,   0, 120N,  930W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AVXO,   0, 105N,  917W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AVXO,   6, 107N,  933W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AVXO,  12, 108N,  941W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AVXO,  18, 107N,  956W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  12, 123N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  24, 127N,  982W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  36, 128N, 1008W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  48, 127N, 1033W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  60, 129N, 1058W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  72, 132N, 1083W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  84, 134N, 1108W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD,  96, 136N, 1136W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 108, 138N, 1163W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 120, 138N, 1193W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 132, 137N, 1220W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 144, 135N, 1245W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 156, 136N, 1269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMD, 168, 137N, 1291W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  12, 124N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  24, 128N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  36, 131N,  992W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  48, 132N, 1011W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  60, 135N, 1031W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  72, 139N, 1053W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  84, 142N, 1076W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM,  96, 146N, 1101W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 108, 148N, 1126W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 120, 149N, 1151W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 132, 145N, 1172W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 144, 138N, 1188W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 156, 132N, 1197W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMM, 168, 128N, 1190W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  12, 125N,  947W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  24, 128N,  965W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
