AL, E3, 2010091206, 03, GPCC,  12, 132N,  219W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC,  24, 138N,  243W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC,  36, 148N,  267W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC,  48, 161N,  287W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC,  72, 199N,  318W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC,  96, 233N,  360W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, GPCC, 120, 262N,  410W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  12, 132N,  219W,  68,   46,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  24, 138N,  243W,  68,   78,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  36, 148N,  267W,  68,  109,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  48, 161N,  287W,  68,  135,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  72, 199N,  318W,  68,  212,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN,  96, 233N,  360W,  68,  286,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCN, 120, 262N,  410W,  68,  314,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCX,   0, 131N,  195W,  70,    0,   ,  90, AAA,    0,    0,    0,    0, 
AL, E3, 2010091206, 03, TVCX,  12, 132N,  219W,  70,   45,   ,  86, AAA,   40,   52,    2,    0, 
AL, E3, 2010091206, 03, TVCX,  24, 139N,  243W,  70,   68,   ,  72, AAA,   76,   63,    5,   -1, 
AL, E3, 2010091206, 03, TVCX,  36, 150N,  266W,  70,   86,   ,  62, AAA,  113,   67,    8,   -5, 
AL, E3, 2010091206, 03, TVCX,  48, 164N,  284W,  70,  114,   ,  50, AAA,  146,   90,   13,  -10, 
AL, E3, 2010091206, 03, TVCX,  72, 203N,  312W,  70,  175,   ,  40, AAA,  218,  141,   20,  -19, 
AL, E3, 2010091206, 03, TVCX,  96, 240N,  355W,  70,  236,   ,  60, AAA,  310,  180,   18,  -32, 
AL, E3, 2010091206, 03, TVCX, 120, 271N,  403W,  70,  269,   ,  57, AAA,  280,  260,    0,  -65, 
AL, E3, 2010091212, 03, GPCC,  12, 128N,  233W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC,  24, 133N,  256W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC,  36, 143N,  277W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC,  48, 155N,  295W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC,  72, 191N,  329W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC,  96, 225N,  376W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, GPCC, 120, 255N,  432W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  12, 128N,  233W,  68,   43,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  24, 133N,  256W,  68,   73,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  36, 143N,  277W,  68,   96,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  48, 155N,  295W,  68,  112,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  72, 191N,  329W,  68,  176,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN,  96, 225N,  376W,  68,  230,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCN, 120, 255N,  432W,  68,  262,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCX,   0, 125N,  208W,  70,    0,   ,  87, AAA,    0,    0,    0,    0, 
AL, E3, 2010091212, 03, TVCX,  12, 128N,  233W,  70,   40,   ,  81, AAA,   42,   39,    2,    0, 
AL, E3, 2010091212, 03, TVCX,  24, 134N,  256W,  70,   71,   ,  72, AAA,   70,   72,    5,   -1, 
AL, E3, 2010091212, 03, TVCX,  36, 145N,  277W,  70,   94,   ,  61, AAA,   94,   94,    8,   -5, 
AL, E3, 2010091212, 03, TVCX,  48, 158N,  293W,  70,  119,   ,  50, AAA,  113,  127,   13,  -10, 
AL, E3, 2010091212, 03, TVCX,  72, 195N,  324W,  70,  167,   ,  46, AAA,  187,  150,   20,  -19, 
AL, E3, 2010091212, 03, TVCX,  96, 233N,  372W,  70,  208,   ,  60, AAA,  251,  173,   18,  -32, 
AL, E3, 2010091212, 03, TVCX, 120, 265N,  427W,  70,  228,   ,  63, AAA,  257,  203,    0,  -65, 
