AL, A0, 201005240545,  10, DVTS,          C,  , 2440N,  6910W,      , 2,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  GS,    I, 3,           ,      ,   , GOES13,  CSC, T, TWTC
AL, A0, 201005240545,  10, DVTS,          C,  , 2440N,  6910W,      , 2,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , L,   SAB,  GS,    I, 3,           ,      ,   ,       , LLCC, T, DT=0.0 BO SHR  MET=0.0 PT=0.0 FTBO DT  PA=10 NMI
AL, A0, 201005240545,  10, DVTS,          C,  , 2640N,  6940W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 5,           ,      ,   , GOES13,  CSC, T, TWTC
AL, A0, 201005240600,  70, ANAL,         RP,  , 2690N,  6950W,    10, 2,    ,  , 1007, 2, MEAS,  34,  NEQ,   45,   45,    0,   45,  ,  ,  ,  , 2,  40,    , L,  CIRA, MPS, MPS, 201005231800, 201005240025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
AL, A0, 201005241145,  10, DVTS,          C,  , 2670N,  6900W,      , 2,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  RE,   VI, 3,           ,      ,   , GOES13,  CSC, T, TWTC
AL, A0, 201005241145,  10, DVTS,          C,  , 2670N,  6900W,      , 2,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , L,   SAB,  RE,   VI, 3,           ,      ,   ,       , LLCC, T, DT=0.0 BO CBND MET=0.0 PT=0.0 FTBO CON PA=40 NMI
AL, A0, 201005241145,  10, DVTS,          C,  , 2670N,  6910W,      , 2,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  DS,    V, 3,           ,      ,   , GOES13,  CSC, T, TWTC
AL, A0, 201005241200,  70, ANAL,         RP,  , 2760N,  6960W,    10, 2,    ,  , 1006, 2, MEAS,  34,  NEQ,   50,   45,    0,   45,  ,  ,  ,  , 2,  40,    , L,  CIRA, MPS, MPS, 201005240000, 201005240025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
AL, A0, 201005241445,  10, DVTS,          C,  , 2720N,  6900W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  DS,    V, 5,           ,      ,   , GOES13,  CSC,  ,     
AL, A0, 201005241745,  10, DVTS,          C,  , 2770N,  6880W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , L,   SAB,  RE,   VI, 5,           ,      ,   ,       , LLCC, T, DT=0.0 BO CBND MET=0.0 PT=0.0 FTBO DT  PA=60 NMI
AL, A0, 201005241745,  10, DVTS,          C,  , 2800N,  6900W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  DS,    V, 5,           ,      ,   , GOES13,  CSC,  , A COUPLE OF OTHER SMALL CIRCULATIONS NEAR NLINE28.
AL, A0, 201005241800,  70, ANAL,          P,  , 2740N,  7030W,    10, 2,    ,  , 1004, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,  38,    , L,  CIRA, MPS, MPS, 201005240600, 201005240025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
