EP, B2, 2010082000, 03, AP02,   0, 180N, 1069W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,   6, 187N, 1074W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  12, 189N, 1081W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  18, 189N, 1086W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  24, 195N, 1093W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  30, 195N, 1106W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  36, 198N, 1106W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  42, 200N, 1101W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  48, 199N, 1109W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP02,  54, 198N, 1108W,   7, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,   0, 174N, 1058W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,   6, 181N, 1067W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  12, 185N, 1079W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  18, 184N, 1086W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  24, 187N, 1090W,  14, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  30, 187N, 1095W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  36, 189N, 1101W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  42, 190N, 1102W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  48, 190N, 1102W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  54, 189N, 1105W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  60, 186N, 1105W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  66, 189N, 1109W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  72, 190N, 1110W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  78, 188N, 1114W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP03,  84, 189N, 1109W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,   0, 174N, 1055W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,   6, 180N, 1061W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  12, 182N, 1071W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  18, 183N, 1079W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  24, 188N, 1089W,  17, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  30, 186N, 1089W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  36, 190N, 1095W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  42, 189N, 1095W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  48, 188N, 1092W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  54, 183N, 1096W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP04,  60, 187N, 1093W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,   0, 179N, 1060W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,   6, 183N, 1069W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,  12, 186N, 1076W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,  18, 186N, 1082W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,  24, 190N, 1090W,  14, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,  30, 185N, 1097W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP05,  36, 185N, 1096W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,   0, 181N, 1064W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,   6, 189N, 1075W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  12, 190N, 1086W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  18, 192N, 1096W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  24, 197N, 1103W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  30, 197N, 1112W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  36, 199N, 1115W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  42, 202N, 1122W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  48, 200N, 1127W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  54, 202N, 1131W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP06,  60, 198N, 1133W,   9, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,   0, 179N, 1068W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,   6, 187N, 1070W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,  12, 189N, 1079W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,  18, 190N, 1089W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,  24, 193N, 1093W,  11, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP07,  30, 190N, 1099W,  10, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,   0, 179N, 1061W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,   6, 182N, 1069W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  12, 186N, 1074W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  18, 186N, 1083W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  24, 189N, 1089W,  18, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  30, 188N, 1094W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  36, 190N, 1100W,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  42, 197N, 1105W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  48, 195N, 1108W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  54, 194N, 1111W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  60, 194N, 1117W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  66, 196N, 1119W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  72, 192N, 1124W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  78, 194N, 1129W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  84, 197N, 1127W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  90, 194N, 1136W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08,  96, 191N, 1135W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP08, 102, 195N, 1136W,   7, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP10,   0, 178N, 1075W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP10,   6, 181N, 1088W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP10,  12, 184N, 1094W,   9, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP10,  18, 188N, 1102W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP11,   0, 184N, 1064W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP11,   6, 189N, 1072W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,   0, 182N, 1066W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,   6, 193N, 1084W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  12, 193N, 1089W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  18, 192N, 1101W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  24, 198N, 1107W,  13, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  30, 201N, 1117W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  36, 197N, 1126W,  10, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  42, 197N, 1130W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  48, 191N, 1126W,   9, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  54, 186N, 1128W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  60, 180N, 1135W,   8, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  66, 161N, 1140W,   9, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
