EP, B3, 2010082106, 03, AEMN, 114, 148N, 1060W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 120, 149N, 1068W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 126, 148N, 1076W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 132, 149N, 1083W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 138, 152N, 1088W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 144, 152N, 1095W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 150, 152N, 1101W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 156, 153N, 1107W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 162, 155N, 1110W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 168, 155N, 1116W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 174, 156N, 1119W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 180, 157N, 1123W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 186, 158N, 1126W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 192, 160N, 1130W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 198, 160N, 1134W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 204, 159N, 1136W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 210, 158N, 1133W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 216, 159N, 1138W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 222, 155N, 1140W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 228, 153N, 1142W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 234, 150N, 1143W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN, 240, 146N, 1148W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP01,   0, 140N,  939W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP01,   6, 137N,  938W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP01,  12, 139N,  939W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP01,  18, 139N,  938W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
