EP, A0, 2010052518, 03, AEMN,  90, 170N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN,  96, 177N,  823W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 102, 187N,  806W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 108, 195N,  792W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 114, 200N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 120, 210N,  776W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 126, 214N,  766W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 132, 220N,  763W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 138, 230N,  748W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 144, 237N,  734W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AEMN, 150, 240N,  723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP01,   0, 115N,  894W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP01,   6, 117N,  896W,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP01,  12, 117N,  895W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP02,   0, 119N,  901W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP02,   6, 120N,  910W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP03,   0, 105N,  880W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP03,   6, 115N,  877W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,   0, 108N,  884W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,   6, 111N,  881W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  12, 111N,  894W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  18, 109N,  887W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
