AL, F3, 2010110906, 03, AP09,   0, 145N,  700W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,   6, 146N,  700W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  12, 140N,  702W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  18, 146N,  699W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  24, 151N,  703W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  30, 157N,  711W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  36, 163N,  714W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP09,  42, 169N,  711W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP10,   0, 149N,  701W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP10,   6, 149N,  704W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,   0, 143N,  703W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,   6, 142N,  700W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  12, 144N,  703W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  18, 144N,  705W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  24, 147N,  706W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  30, 151N,  709W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  36, 163N,  710W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP11,  42, 172N,  703W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP12,   0, 149N,  696W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP12,   6, 151N,  695W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP12,  12, 152N,  692W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP13,   0, 149N,  692W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP13,   6, 146N,  696W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP13,  12, 147N,  699W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP14,   0, 145N,  702W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP14,   6, 147N,  703W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP14,  12, 146N,  705W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP15,   0, 148N,  699W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP15,   6, 151N,  698W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP15,  12, 154N,  699W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP15,  18, 151N,  699W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP15,  24, 154N,  697W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP16,   0, 142N,  699W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP16,   6, 143N,  697W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP16,  12, 143N,  697W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP16,  18, 143N,  695W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP16,  24, 145N,  694W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,   0, 147N,  693W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,   6, 152N,  694W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,  12, 161N,  692W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,  18, 163N,  690W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,  24, 152N,  697W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP17,  30, 147N,  706W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP18,   0, 148N,  699W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP18,   6, 155N,  693W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP18,  12, 160N,  690W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
