EP, B8, 2010100712, 03, BAMS,  72,  93N, 1330W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS,  84,  92N, 1364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS,  96,  92N, 1397W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 108,  95N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 120,  98N, 1456W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 132, 104N, 1483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 144, 108N, 1506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 156, 111N, 1522W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMS, 168, 113N, 1534W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  12, 100N, 1179W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  24, 103N, 1201W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  36, 106N, 1223W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  48, 108N, 1245W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  60, 112N, 1264W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLIP,  72, 117N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  12, 102N, 1179W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  24, 107N, 1201W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  36, 112N, 1223W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  48, 118N, 1242W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  60, 123N, 1261W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  72, 128N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  84, 135N, 1293W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5,  96, 141N, 1307W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5, 108, 148N, 1322W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, CLP5, 120, 154N, 1337W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,   0, 100N, 1154W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  12,  97N, 1176W,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  24,  94N, 1197W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  36,  91N, 1219W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  48,  88N, 1243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  60,  86N, 1269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  72,  83N, 1294W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  84,  82N, 1316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP,  96,  83N, 1336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP, 108,  86N, 1353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, DSHP, 120,  91N, 1368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, IVCN,  12,   0N,    0W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,   0, 100N, 1154W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  12, 102N, 1176W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  24, 106N, 1202W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  36, 111N, 1229W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  48, 118N, 1258W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  60, 125N, 1285W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  72, 135N, 1308W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  84, 143N, 1324W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR,  96, 152N, 1333W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR, 108, 165N, 1335W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LBAR, 120, 178N, 1326W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,   0, 100N, 1154W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  12,  97N, 1176W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  24,  94N, 1197W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  36,  91N, 1219W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  48,  88N, 1243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  60,  86N, 1269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  72,  83N, 1294W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  84,  82N, 1316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM,  96,  83N, 1336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM, 108,  86N, 1353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, LGEM, 120,  91N, 1368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  24,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  36,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  48,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  60,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  72,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  84,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5,  96,   0N,    0W,  62,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5, 108,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHF5, 120,   0N,    0W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHFR,  12,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
