CP, 01, 2010121806, 03, CLIP,  12, 224N, 1791W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLIP,  24, 213N, 1789W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLIP,  36, 204N, 1776W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLIP,  48, 201N, 1730W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLIP,  60, 203N, 1650W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLIP,  72, 197N, 1613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  12, 222N, 1793W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  24, 207N, 1792E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  36, 198N, 1777E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  48, 193N, 1772E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  60, 188N, 1770E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  72, 188N, 1766E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  84, 189N, 1769E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5,  96, 194N, 1771E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5, 108, 198N, 1765E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, CLP5, 120, 202N, 1760E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHF5,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHF5,  12,   0N,    0W,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHF5,  24,   0N,    0W,  11,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHF5,  36,   0N,    0W,   2,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHF5,  48,   0N,    0W,   7,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  12,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  24,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  36,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  48,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  60,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, SHFR,  72,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,   0, 238N, 1786W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  12, 226N, 1791W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  24, 214N, 1797W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  36, 202N, 1798E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  48, 190N, 1792E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  60, 178N, 1786E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  72, 166N, 1781E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  84, 154N, 1775E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP,  96, 142N, 1770E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 108, 130N, 1764E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 120, 118N, 1759E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 132, 106N, 1753E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 144,  93N, 1748E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 156,  81N, 1742E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121806, 03, XTRP, 168,  69N, 1737E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2010121812, 01, CARQ, -24, 264N, 1777W,  30,    0, DB,  34, AAA,    0,    0,    0,    0, 
