EP, C5, 2010090312, 03, BAMM, 108, 213N, 1027W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM, 120, 218N, 1038W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM, 132, 222N, 1050W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM, 144, 226N, 1063W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM, 156, 230N, 1077W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM, 168, 236N, 1089W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  12, 156N,  948W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  24, 162N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  36, 169N,  965W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  48, 177N,  973W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  60, 186N,  980W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  72, 197N,  988W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  84, 208N,  996W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS,  96, 219N, 1007W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 108, 229N, 1018W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 120, 237N, 1030W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 132, 242N, 1040W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 144, 246N, 1051W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 156, 250N, 1062W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMS, 168, 255N, 1071W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,   0, 148N,  935W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,   6, 148N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  12, 150N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  18, 152N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  24, 157N,  943W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  30, 162N,  945W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  36, 166N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  42, 171N,  952W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  48, 174N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  54, 176N,  960W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  60, 177N,  962W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CEMN,  66, 180N,  966W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  12, 160N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  24, 167N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  36, 177N,  967W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  48, 187N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  60, 195N,  992W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLIP,  72, 205N, 1007W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  12, 160N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  24, 167N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  36, 174N,  960W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  48, 181N,  969W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  60, 188N,  975W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  72, 194N,  982W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  84, 202N,  992W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5,  96, 206N, 1001W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5, 108, 211N, 1011W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, CLP5, 120, 215N, 1018W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,   0, 153N,  943W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  12, 159N,  953W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  24, 166N,  966W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  36, 173N,  978W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  48, 179N,  987W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  60, 185N,  994W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  72, 190N, 1000W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  84, 198N, 1008W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP,  96, 205N, 1017W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP, 108, 213N, 1027W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, DSHP, 120, 218N, 1038W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,   0, 153N,  943W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  12, 162N,  955W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  24, 179N,  968W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  36, 196N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  48, 210N,  987W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  60, 226N,  993W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  72, 242N,  996W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  84, 262N,  994W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR,  96, 284N,  984W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR, 108, 303N,  971W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LBAR, 120, 320N,  962W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,   0, 153N,  943W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  12, 159N,  953W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  24, 166N,  966W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  36, 173N,  978W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  48, 179N,  987W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  60, 185N,  994W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  72, 190N, 1000W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  84, 198N, 1008W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM,  96, 205N, 1017W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM, 108, 213N, 1027W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, LGEM, 120, 218N, 1038W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  24,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  36,   0N,    0W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  48,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  60,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  72,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  84,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5,  96,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5, 108,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHF5, 120,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHFR,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHFR,  24,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHFR,  36,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
