AL, D8, 2010100818, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100818, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100900, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  12, 149N,  790W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  24, 157N,  795W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  36, 168N,  802W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  48, 178N,  808W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  72, 198N,  819W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC,  96, 229N,  815W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, GPCC, 120, 258N,  767W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  12, 149N,  790W,  68,   46,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  24, 157N,  795W,  68,   58,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  36, 168N,  802W,  68,   76,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  48, 178N,  808W,  68,   82,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  72, 198N,  819W,  68,  130,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN,  96, 229N,  815W,  68,  189,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCN, 120, 258N,  767W,  68,  262,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCX,   0, 140N,  786W,  70,    0,   ,  19, AAA,    0,    0,    0,    0, 
AL, D8, 2010100906, 03, TVCX,  12, 149N,  790W,  70,   45,   ,  29, AAA,   40,   53,    2,    0, 
AL, D8, 2010100906, 03, TVCX,  24, 157N,  794W,  70,   62,   ,  32, AAA,   59,   67,    5,   -1, 
AL, D8, 2010100906, 03, TVCX,  36, 169N,  800W,  70,   78,   ,  31, AAA,   67,   91,    8,   -5, 
AL, D8, 2010100906, 03, TVCX,  48, 180N,  805W,  70,   91,   ,  32, AAA,   84,  100,   13,  -10, 
AL, D8, 2010100906, 03, TVCX,  72, 200N,  813W,  70,  140,   ,  17, AAA,  132,  151,   20,  -19, 
AL, D8, 2010100906, 03, TVCX,  96, 225N,  808W,  70,  219,   , 329, AAA,  166,  290,   18,  -32, 
AL, D8, 2010100906, 03, TVCX, 120, 248N,  763W,  70,  354,   , 290, AAA,  180,  700,    0,  -65, 
AL, D8, 2010100912, 03, GPCC,  12, 142N,  800W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC,  24, 152N,  806W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC,  36, 161N,  814W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC,  48, 162N,  818W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC,  72, 196N,  816W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC,  96, 222N,  810W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, GPCC, 120, 249N,  766W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D8, 2010100912, 03, TVCN,  12, 142N,  800W,  68,   57,   ,   0,    ,    0,    0,    0,    0, 
