AL, C1, 2010080106, 03, AP02,  18, 107N,  357W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP02,  24, 111N,  367W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP02,  30, 114N,  389W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP02,  36, 110N,  411W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,   0,  99N,  362W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,   6, 105N,  359W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  12, 111N,  351W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  18, 113N,  334W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  24, 120N,  344W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  30, 120N,  371W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  36, 115N,  399W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  42, 111N,  423W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP03,  48, 107N,  441W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,   0,  98N,  346W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,   6,  97N,  356W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,  12,  92N,  371W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,  18,  94N,  383W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,  24,  90N,  397W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP04,  30,  91N,  408W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,   0,  98N,  352W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,   6, 102N,  353W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  12, 109N,  350W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  18, 117N,  347W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  24, 127N,  360W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  30, 130N,  382W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  36, 136N,  410W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  42, 139N,  440W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  48, 156N,  462W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP05,  54, 161N,  489W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
