AL, A1, 201006011745,  10, DVTS,         CI,  , 1950N,  8710W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  AL,    V, 5, 1010 /////,      ,   , GOES13,  CSC, T, DT = 1.0 BASED ON SHEAR PATTERN: < 1 1/4. NLINEMET
AL, A1, 201006012045,  10, DVTS,          C,  , 1870N,  8500W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,   VI, 5,           ,      ,   , GOES13,  CSC,  , PREVIOUSLY TRACKED LOW LEVEL CENTER HAS MOVED AWAY
AL, A1, 201006012345,  10, DVTS,         CI,  , 1890N,  8440W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 5, 1010 /////,      ,   , GOES13,  CSC, T, CONVECTION FALLING APART NLINE NLINEDT = 1.0 BASED
AL, A1, 201006020000,  70, ANAL,          P,  , 1920N,  8580W,    10, 2,    ,  , 1011, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,  47,    , L,  CIRA, MPS, MPS, 201006011200, 201006020025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
