SL, 50, 201003101324,  30, TRMM,          C,  , 2960S,  4750W,      , 2,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   TRMM,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, XPSD LLCC ON 37 GHZ COMPOSITE
SL, 50, 201003101647,  30, AMSR,          C,  , 2970S,  4690W,      , 2,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   AMSR,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, LLCLS/CNVTV CURV ON 36 GHZ COMPOSITE
SL, 50, 201003101745,  10, DVTS,         CI,  , 2990S,  4660W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  GG,   VI, 5, 2525 /////,      ,   ,   MET9,  CSC, T, TROPICAL 2.5
SL, 50, 201003101745,  10, DVTS,         CI,  , 2990S,  4670W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB, R/H,   VI, 5, 2525 /////,      ,   ,   MET9,  CSC, T, 0.4 BANDING - DT=2.5 - NOW USING TRPCL
SL, 50, 201003102253,  30, SSMS,          C,  , 2990S,  4600W,      , 3,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   SSMS,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, LLCLS/CNVTV CURV ON 91 GHZ COMPOSITE
SL, 50, 201003102345,  10, DVTS,         CI,  , 3030S,  4580W,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 3, 2525 /////,      ,   ,   MET9,  CSC, T, 0.5 BNDG - DT=2.5
SL, 50, 201003102345,  10, DVTS,         CI,  , 3060S,  4550W,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  TB,    I, 3, 2525 /////,      ,   ,   MET9,  CSC, T, 
SL, 50, 201003110545,  10, DVTS,         CI,  , 3070S,  4540W,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB, DGS,    I, 3, 2025 /////,      ,   ,   MET9,  CSC, T, 
SL, 50, 201003110545,  10, DVTS,         CI,  , 3100S,  4460W,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,   T,    I, 3, 2025 /////,      ,   ,   MET9,  CSC, T, 
SL, 50, 201003110807,  30, WSAT,          C,  , 3130S,  4450W,      , 2,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   WSAT,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, XPSD LLCC ON 37 GHZ COMPOSITE
SL, 50, 201003110913,  30, TRMM,          C,  , 3130S,  4420W,      , 3,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   TRMM,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, LLCS/CNVTV CURV ON 37 GHZ H
SL, 50, 201003111051,  30, TRMM,          C,  , 3160S,  4400W,      , 3,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   TRMM,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, ELGTD LLCC ON 37 GHZ COMPOSITE
