AL, B7, 2010082612, 03,  NGX,  72, 111N,  322W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  NGX,  84, 115N,  352W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  NGX,  96, 117N,  390W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  NGX, 108, 121N,  430W,  35, 1011, XX,  34, NEQ,  132,    0,    0,    0, 
AL, B7, 2010082612, 03,  NGX, 120, 125N,  467W,  39, 1010, XX,  34, NEQ,   98,    0,    0,   94, 
AL, B7, 2010082612, 03,  NGX, 132, 122N,  508W,  42, 1009, XX,  34, NEQ,  139,    0,    0,    0, 
AL, B7, 2010082612, 03,  NGX, 144, 135N,  538W,  44, 1009, XX,  34, NEQ,  113,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,   0, 120N,  184W,  12, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  12, 125N,  201W,  12, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  24, 131N,  226W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  36, 134N,  261W,  10, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  48, 137N,  287W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  60, 136N,  320W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  UKX,  72, 137N,  368W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  12, 116N,  215W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  24, 120N,  242W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  36, 125N,  270W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  48, 131N,  299W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  60, 139N,  329W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  72, 147N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  84, 157N,  393W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD,  96, 168N,  426W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 108, 179N,  456W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 120, 191N,  481W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 132, 203N,  499W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 144, 211N,  510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 156, 215N,  520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMD, 168, 215N,  530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  12, 118N,  214W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  24, 125N,  241W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  36, 133N,  271W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  48, 143N,  303W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  60, 152N,  337W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  72, 162N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  84, 173N,  412W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM,  96, 186N,  451W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 108, 205N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 120, 230N,  520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 132, 261N,  547W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 144, 289N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 156, 312N,  577W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMM, 168, 332N,  589W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  12, 118N,  213W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  24, 125N,  239W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  36, 135N,  268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  48, 146N,  302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  60, 158N,  338W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  72, 170N,  379W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  84, 184N,  420W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS,  96, 199N,  461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 108, 223N,  501W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 120, 253N,  541W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 132, 284N,  572W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 144, 308N,  596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 156, 323N,  616W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, BAMS, 168, 333N,  635W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,   0, 121N,  184W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,   6, 123N,  193W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  12, 125N,  199W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  18, 125N,  209W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  24, 125N,  218W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  30, 124N,  227W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  36, 124N,  236W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  42, 121N,  253W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  48, 124N,  269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  54, 124N,  277W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  60, 124N,  285W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  66, 127N,  295W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  72, 129N,  305W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  78, 129N,  314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  84, 132N,  332W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  90, 135N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN,  96, 136N,  371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN, 102, 138N,  383W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN, 108, 140N,  391W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN, 114, 142N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CEMN, 120, 142N,  413W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLIP,  12, 118N,  218W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLIP,  24, 123N,  248W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLIP,  36, 129N,  280W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLIP,  48, 138N,  312W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
