AL, C4, 2010091812, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  12, 136N,  297W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  24, 144N,  311W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  36, 153N,  319W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  48, 160N,  327W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  72, 166N,  339W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC,  96, 169N,  359W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, GPCC, 120, 177N,  396W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  12, 136N,  297W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  24, 144N,  311W,  68,   65,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  36, 153N,  319W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  48, 160N,  327W,  68,  112,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  72, 166N,  339W,  68,  183,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN,  96, 169N,  359W,  68,  242,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCN, 120, 177N,  396W,  68,  270,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCX,   0, 127N,  282W,  70,    0,   ,  61, AAA,    0,    0,    0,    0, 
AL, C4, 2010091818, 03, TVCX,  12, 136N,  297W,  70,   40,   ,  59, AAA,   38,   44,    2,    0, 
AL, C4, 2010091818, 03, TVCX,  24, 145N,  310W,  70,   67,   ,  51, AAA,   61,   76,    5,   -1, 
AL, C4, 2010091818, 03, TVCX,  36, 155N,  318W,  70,   93,   ,  45, AAA,   85,  103,    8,   -5, 
AL, C4, 2010091818, 03, TVCX,  48, 163N,  324W,  70,  114,   ,  53, AAA,  119,  111,   13,  -10, 
AL, C4, 2010091818, 03, TVCX,  72, 172N,  338W,  70,  154,   ,  78, AAA,  202,  118,   20,  -19, 
AL, C4, 2010091818, 03, TVCX,  96, 177N,  357W,  70,  190,   ,  79, AAA,  288,  126,   18,  -32, 
AL, C4, 2010091818, 03, TVCX, 120, 188N,  394W,  70,  232,   ,  79, AAA,  295,  183,    0,  -65, 
AL, C4, 2010091900, 03, GPCC,  12, 148N,  307W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091900, 03, GPCC,  24, 157N,  317W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
