AL, B9, 2010090218,   , BEST,   0, 123N,  175W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
AL, B9, 2010090300,   , BEST,   0, 130N,  179W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
AL, B9, 2010090306,   , BEST,   0, 141N,  185W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
AL, B9, 2010090312,   , BEST,   0, 151N,  191W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  200,  25,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, B9, 2010090318,   , BEST,   0, 160N,  200W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  240,  25,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, B9, 2010090400,   , BEST,   0, 167N,  210W,  25, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1010,  240,  25,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
