AL, E3, 2010080600, 03, AC00,  78, 227N,  495W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  84, 235N,  506W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  90, 240N,  518W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  96, 243N,  529W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 102, 249N,  540W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 108, 255N,  551W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 114, 261N,  557W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 120, 266N,  564W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 126, 270N,  571W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 132, 274N,  575W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 138, 280N,  578W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 144, 284N,  576W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 150, 288N,  578W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 156, 290N,  581W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 162, 297N,  578W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 168, 300N,  572W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 174, 301N,  570W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 180, 307N,  566W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 186, 311N,  560W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 192, 316N,  551W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 198, 319N,  542W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 204, 321N,  535W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 210, 323N,  528W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 216, 322N,  521W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 222, 321N,  519W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 228, 319N,  519W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 234, 317N,  520W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00, 240, 311N,  521W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,   0, 127N,  355W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,   6, 133N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  12, 138N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  18, 146N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  24, 155N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  30, 163N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  36, 172N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  42, 181N,  412W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  48, 188N,  426W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  54, 194N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  60, 206N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  66, 214N,  468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  72, 221N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  78, 228N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  84, 233N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN,  90, 240N,  516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
