AL, 97, 2015092206, 01, CARQ, -24, 316N,  713W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 97, 2015092206, 01, CARQ, -18, 317N,  716W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 97, 2015092206, 01, CARQ, -12, 318N,  718W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 315,   4,     INVEST,  , 
AL, 97, 2015092206, 01, CARQ,  -6, 322N,  722W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 97, 2015092206, 01, CARQ,   0, 326N,  726W,  30, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1012,  180,  70,   0,   0,   L,   0,   X, 315,   4,     INVEST, S, 
AL, 97, 2015092206, 01, CARQ,   0, 326N,  726W,  30, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1012,  180,  70,   0,   0,   L,   0,   X, 315,   4,     INVEST, S, 
AL, 97, 2015092206, 01, CARQ,   0, 326N,  726W,  30, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1012,  180,  70,   0,   0,   L,   0,   X, 315,   4,     INVEST, S, 
AL, 97, 2015092206, 03,  NAM,   0, 323N,  738W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,   6, 329N,  737W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  12, 340N,  733W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  18, 336N,  740W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  24, 329N,  751W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  30, 325N,  758W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  36, 321N,  765W,  28, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  42, 313N,  777W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  48, 306N,  804W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  54, 301N,  821W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  60, 296N,  838W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03,  NAM,  66, 292N,  847W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03, AEMN,   0, 324N,  736W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03, AEMN,   6, 329N,  741W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03, AEMN,  12, 333N,  743W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 97, 2015092206, 03, AEMN,  18, 329N,  748W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
