AL, 93, 2015110618, 03, AVNO,  24, 233N,  949W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 129,   0,   0, 
AL, 93, 2015110618, 03, BAMD,  12, 213N,  925W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  24, 226N,  931W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  36, 235N,  926W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  48, 241N,  906W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  60, 245N,  881W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  72, 239N,  860W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  84, 227N,  853W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD,  96, 211N,  859W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 108, 196N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 120, 185N,  907W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 132, 180N,  933W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 144, 178N,  955W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 156, 179N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMD, 168, 180N,  985W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  12, 212N,  926W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  24, 222N,  935W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  36, 227N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  48, 224N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  60, 221N,  942W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  72, 217N,  946W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  84, 212N,  953W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM,  96, 207N,  966W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
