AL, 95, 2015091412, 01, CARQ, -24,  81N,  133W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2015091412, 01, CARQ, -18,  81N,  146W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2015091412, 01, CARQ, -12,  81N,  159W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 272,  13,     INVEST,  , 
AL, 95, 2015091412, 01, CARQ,  -6,  82N,  172W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2015091412, 01, CARQ,   0,  83N,  185W,  20, 1012, LO,  34, NEQ,    0,    0,    0,    0, 1014,  180,  70,   0,   0,   L,   0,   X, 275,  13,     INVEST, S, 
AL, 95, 2015091412, 01, CARQ,   0,  83N,  185W,  20, 1012, LO,  50, NEQ,    0,    0,    0,    0, 1014,  180,  70,   0,   0,   L,   0,   X, 275,  13,     INVEST, S, 
AL, 95, 2015091412, 01, CARQ,   0,  83N,  185W,  20, 1012, LO,  64, NEQ,    0,    0,    0,    0, 1014,  180,  70,   0,   0,   L,   0,   X, 275,  13,     INVEST, S, 
AL, 95, 2015091412, 03,  EMX,   0,  77N,  191W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,   6,  81N,  201W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  12,  88N,  218W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  18,  92N,  222W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  24, 100N,  235W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  30, 104N,  242W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  36, 109N,  252W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  42, 110N,  263W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  48, 111N,  271W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  54, 119N,  280W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  60, 121N,  285W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  66, 129N,  290W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2015091412, 03,  EMX,  72, 134N,  300W,  35, 1007, XX,  34, NEQ,    0,    0,    0,   40, 
