IO, 01, 2014010218,   , BEST,   0,  72N,  860E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2014010300,   , BEST,   0,  75N,  856E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2014010306,   , BEST,   0,  78N,  852E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
IO, 01, 2014010312,   , BEST,   0,  81N,  848E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  150,   0,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2014010318,   , BEST,   0,  85N,  844E,  25, 1003, DB,   0,    ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2014010400,   , BEST,   0,  88N,  839E,  30,  999, DB,   0,    ,    0,    0,    0,    0, 1004,  150,  40,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 01, 2014010406,   , BEST,   0,  90N,  832E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010412,   , BEST,   0,  91N,  828E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010418,   , BEST,   0,  92N,  824E,  40,  993, TS,  34, NEQ,   40,   35,   35,   40, 1008,  150,  30,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010500,   , BEST,   0,  93N,  821E,  40,  993, TS,  34, NEQ,   40,   35,   35,   40, 1008,  150,  30,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010506,   , BEST,   0,  93N,  818E,  40,  993, TS,  34, NEQ,   40,   35,   35,   40, 1009,  150,  25,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010512,   , BEST,   0,  93N,  815E,  35,  996, TS,  34, NEQ,   40,   35,   35,   40, 1008,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, M, 
IO, 01, 2014010518,   , BEST,   0,  93N,  812E,  35,  996, TS,  34, NEQ,   40,   35,   35,   40, 1008,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, S, 
IO, 01, 2014010600,   , BEST,   0,  93N,  811E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, S, 
IO, 01, 2014010606,   , BEST,   0,  93N,  809E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, S, 
IO, 01, 2014010612,   , BEST,   0,  91N,  807E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   B,   0,    ,   0,   0,        ONE, S, 
IO, 01, 2014010618,   , BEST,   0,  86N,  804E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010700,   , BEST,   0,  81N,  800E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010706,   , BEST,   0,  77N,  796E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010712,   , BEST,   0,  73N,  792E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010718,   , BEST,   0,  75N,  787E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010800,   , BEST,   0,  77N,  782E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010806,   , BEST,   0,  79N,  776E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010812,   , BEST,   0,  81N,  771E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010818,   , BEST,   0,  81N,  764E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010900,   , BEST,   0,  80N,  759E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010906,   , BEST,   0,  68N,  743E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
IO, 01, 2014010912,   , BEST,   0,  61N,  728E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0, 
