EP, 14, 2006091600,   , BEST,   0, 173N, 1150W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 14, 2006091606,   , BEST,   0, 174N, 1147W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  200,  30,  40,   0,   E,   0,    ,   0,   0,   FOURTEEN, D, 
EP, 14, 2006091612,   , BEST,   0, 177N, 1144W,  35, 1003, TS,  34, NEQ,    0,   60,    0,    0, 1008,  200,  30,  40,   0,   E,   0,    ,   0,   0,   FOURTEEN, D, 
EP, 14, 2006091618,   , BEST,   0, 181N, 1142W,  35, 1001, TS,  34, NEQ,    0,   60,   60,    0, 1008,  200,  30,  45,   0,   E,   0,    ,   0,   0,     MIRIAM, D, 
EP, 14, 2006091700,   , BEST,   0, 185N, 1141W,  40,  999, TS,  34, NEQ,    0,   60,   60,    0, 1008,  200,  30,  50,   0,   E,   0,    ,   0,   0,     MIRIAM, M, 
EP, 14, 2006091706,   , BEST,   0, 187N, 1140W,  40,  999, TS,  34, NEQ,    0,   75,   75,    0, 1009,  175,  60,  50,   0,   E,   0,    ,   0,   0,     MIRIAM, M, 
EP, 14, 2006091712,   , BEST,   0, 189N, 1139W,  40, 1000, TS,  34, NEQ,    0,   75,   75,    0, 1009,  175,  60,  50,   0,   E,   0,    ,   0,   0,     MIRIAM, M, 
EP, 14, 2006091718,   , BEST,   0, 190N, 1138W,  35, 1001, TS,  34, NEQ,    0,   75,   75,    0, 1014,  175,  60,  45,   0,   E,   0,    ,   0,   0,     MIRIAM, M, 
EP, 14, 2006091800,   , BEST,   0, 191N, 1137W,  35, 1001, TS,  34, NEQ,    0,   75,    0,    0, 1014,  175,  50,  45,   0,   E,   0,    ,   0,   0,     MIRIAM, S, 
EP, 14, 2006091806,   , BEST,   0, 195N, 1136W,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1014,  175,  50,  45,   0,   E,   0,    ,   0,   0,     MIRIAM, S, 
EP, 14, 2006091812,   , BEST,   0, 199N, 1136W,  25, 1003, LO,   0,    ,    0,    0,    0,    0, 1014,  175,  50,  40,   0,   E,   0,    ,   0,   0,     MIRIAM, S, 
EP, 14, 2006091818,   , BEST,   0, 203N, 1137W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006091900,   , BEST,   0, 207N, 1139W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006091906,   , BEST,   0, 212N, 1142W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006091912,   , BEST,   0, 218N, 1146W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006091918,   , BEST,   0, 225N, 1148W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092000,   , BEST,   0, 232N, 1149W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092006,   , BEST,   0, 236N, 1146W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092012,   , BEST,   0, 240N, 1143W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092018,   , BEST,   0, 243N, 1138W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092100,   , BEST,   0, 244N, 1132W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2006092106,   , BEST,   0, 244N, 1126W,  20, 1009, LO,   0,    ,    0,    0,    0,    0, 
