EP, 21, 2006111212, 03, AC00,  90, 119N, 1090W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00,  96, 115N, 1097W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 102, 113N, 1098W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 108, 118N, 1100W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 114, 119N, 1100W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 120, 123N, 1096W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 126, 128N, 1097W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 132, 131N, 1099W,  28, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 138, 139N, 1101W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 144, 141N, 1102W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 150, 149N, 1109W,  33, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 156, 151N, 1111W,  35,  999, XX,  34, NEQ,  132,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 162, 157N, 1117W,  37, 1001, XX,  34, NEQ,  138,    0,    0,    0, 
EP, 21, 2006111212, 03, AC00, 168, 161N, 1122W,  38, 1000, XX,  34, NEQ,  169,  125,    0,    0, 
EP, 21, 2006111212, 03, AC00, 174, 168N, 1128W,  36, 1001, XX,  34, NEQ,  147,  118,    0,  132, 
EP, 21, 2006111212, 03, AC00, 180, 170N, 1130W,  38,  998, XX,  34, NEQ,  166,   94,    0,  122, 
EP, 21, 2006111212, 03, AC00, 186, 178N, 1131W,  38,  999, XX,  34, NEQ,  177,  145,    0,    0, 
EP, 21, 2006111212, 03, AC00, 192, 181N, 1131W,  37,  997, XX,  34, NEQ,  165,  141,    0,    0, 
EP, 21, 2006111212, 03, AC00, 198, 190N, 1130W,  39,  998, XX,  34, NEQ,  173,  180,    0,  123, 
EP, 21, 2006111212, 03, AC00, 204, 197N, 1123W,  39,  995, XX,  34, NEQ,  141,  167,    0,    0, 
EP, 21, 2006111212, 03, AC00, 210, 201N, 1118W,  38,  997, XX,  34, NEQ,  163,  163,    0,  129, 
EP, 21, 2006111212, 03, AC00, 216, 204N, 1113W,  37,  995, XX,  34, NEQ,  161,  157,  146,  124, 
EP, 21, 2006111212, 03, AC00, 222, 210N, 1107W,  42,  996, XX,  34, NEQ,  169,  171,  144,  130, 
EP, 21, 2006111212, 03, AC00, 228, 219N, 1101W,  43,  994, XX,  34, NEQ,  140,  183,    0,  125, 
EP, 21, 2006111212, 03, AC00, 234, 221N, 1099W,  44,  996, XX,  34, NEQ,  132,  184,  123,  130, 
EP, 21, 2006111212, 03, AC00, 240, 229N, 1092W,  46,  996, XX,  34, NEQ,  125,  168,    0,   99, 
