EP, 97, 2017091318, 03, AC00, 102, 254N, 1098W,  57,  981, XX,  50, NEQ,   52,   56,   53,   38, 
EP, 97, 2017091318, 03, AC00, 108, 265N, 1093W,  39,  993, XX,  34, NEQ,   45,   63,   62,   40, 
EP, 97, 2017091318, 03, AC00, 114, 287N, 1082W,  17, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 120, 305N, 1064W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 126, 319N, 1038W,  23, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 132, 348N, 1019W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 138, 370N, 1003W,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 144, 393N,  985W,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 150, 415N,  962W,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 156, 437N,  943W,  35,  993, XX,  34, NEQ,    0,   79,    0,    0, 
EP, 97, 2017091318, 03, AC00, 162, 458N,  926W,  29,  993, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 168, 479N,  917W,  40,  993, XX,  34, NEQ,  191,  214,    0,    0, 
EP, 97, 2017091318, 03, AC00, 174, 498N,  915W,  31,  996, XX,  34, NEQ,    0,  225,    0,    0, 
EP, 97, 2017091318, 03, AC00, 180, 520N,  916W,  14,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 186, 545N,  929W,  14,  990, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AEMN,   0, 158N, 1090W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0,   38,    4,   7,   0,   0, 
EP, 97, 2017091318, 03, AEMN,   6, 163N, 1093W,  35, 1001, XX,  34, NEQ,    0,    0,    0,    0,   39,    5,   7,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  12, 169N, 1097W,  36, 1002, XX,  34, NEQ,    0,    0,    0,    0,   53,    5,   7,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  18, 174N, 1099W,  37,  999, XX,  34, NEQ,    0,    0,    0,    0,   61,    6,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  24, 178N, 1102W,  39, 1000, XX,  34, NEQ,    0,    0,    0,    0,   72,    6,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  30, 182N, 1102W,  39,  996, XX,  34, NEQ,    0,    0,    0,    0,   78,    7,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  36, 184N, 1102W,  39,  998, XX,  34, NEQ,    0,    0,    0,    0,   80,    7,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  42, 187N, 1102W,  41,  994, XX,  34, NEQ,    0,    0,    0,    0,   82,    7,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  48, 189N, 1100W,  42,  995, XX,  34, NEQ,    0,    0,    0,    0,   83,    8,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  54, 191N, 1098W,  42,  991, XX,  34, NEQ,    0,    0,    0,    0,   82,    8,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  60, 193N, 1097W,  42,  993, XX,  34, NEQ,    0,    0,    0,    0,   83,    8,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  66, 197N, 1096W,  44,  988, XX,  34, NEQ,    0,    0,    0,    0,   87,    8,   9,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  72, 202N, 1096W,  46,  989, XX,  34, NEQ,    0,    0,    0,    0,   94,    9,  11,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  78, 207N, 1096W,  48,  984, XX,  34, NEQ,    0,    0,    0,    0,  103,   10,  12,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  84, 213N, 1098W,  48,  987, XX,  34, NEQ,    0,    0,    0,    0,  119,    9,  12,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  90, 221N, 1100W,  45,  987, XX,  34, NEQ,    0,    0,    0,    0,  143,    8,  10,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  96, 229N, 1102W,  44,  991, XX,  34, NEQ,    0,    0,    0,    0,  169,    8,  12,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 102, 238N, 1101W,  42,  990, XX,  34, NEQ,    0,    0,    0,    0,  198,    9,  12,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 108, 247N, 1100W,  39,  995, XX,  34, NEQ,    0,    0,    0,    0,  238,    8,  13,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 114, 256N, 1097W,  36,  995, XX,  34, NEQ,    0,    0,    0,    0,  278,    9,  13,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 120, 264N, 1094W,  35,  998, XX,  34, NEQ,    0,    0,    0,    0,  320,    7,  12,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 126, 274N, 1087W,  31,  997, XX,  34, NEQ,    0,    0,    0,    0,  365,    6,  11,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 132, 285N, 1080W,  29, 1000, XX,  34, NEQ,    0,    0,    0,    0,  401,    5,  10,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 138, 297N, 1077W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0,  437,    4,   8,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 144, 307N, 1073W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0,  465,    4,   6,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 150, 311N, 1062W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0,  528,    5,   6,   0,   0, 
EP, 97, 2017091318, 03, AEMN, 156, 341N, 1029W,  28, 1001, XX,  34, NEQ,    0,    0,    0,    0,  566,    4,   6,   0,   0, 
EP, 97, 2017091318, 03, AP01,   0, 161N, 1092W,  34, 1005, XX,  34, NEQ,    0,   57,    0,    0, 
EP, 97, 2017091318, 03, AP01,   6, 166N, 1097W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  12, 170N, 1101W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  18, 173N, 1106W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  24, 174N, 1110W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  30, 177N, 1108W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  36, 181N, 1108W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01,  42, 184N, 1106W,  37,  998, XX,  34, NEQ,    0,   67,   76,    0, 
EP, 97, 2017091318, 03, AP01,  48, 188N, 1104W,  38,  999, XX,  34, NEQ,    0,   91,   87,   80, 
EP, 97, 2017091318, 03, AP01,  54, 191N, 1101W,  42,  993, XX,  34, NEQ,    0,   94,   91,   84, 
EP, 97, 2017091318, 03, AP01,  60, 193N, 1100W,  41,  993, XX,  34, NEQ,   89,   97,   84,   70, 
EP, 97, 2017091318, 03, AP01,  66, 198N, 1099W,  46,  986, XX,  34, NEQ,   97,  105,   88,   84, 
EP, 97, 2017091318, 03, AP01,  72, 203N, 1101W,  56,  984, XX,  34, NEQ,   99,   96,   86,   87, 
EP, 97, 2017091318, 03, AP01,  72, 203N, 1101W,  56,  984, XX,  50, NEQ,    0,   60,   55,    0, 
EP, 97, 2017091318, 03, AP01,  78, 210N, 1100W,  50,  978, XX,  34, NEQ,   88,   92,   90,   83, 
EP, 97, 2017091318, 03, AP01,  84, 217N, 1102W,  50,  986, XX,  34, NEQ,   99,   99,   79,   74, 
EP, 97, 2017091318, 03, AP01,  90, 228N, 1104W,  47,  987, XX,  34, NEQ,  115,  108,   80,   67, 
EP, 97, 2017091318, 03, AP01,  96, 241N, 1108W,  52,  989, XX,  34, NEQ,  134,  124,   80,   63, 
EP, 97, 2017091318, 03, AP01,  96, 241N, 1108W,  52,  989, XX,  50, NEQ,   49,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01, 102, 253N, 1109W,  53,  987, XX,  34, NEQ,  103,  104,   62,   75, 
EP, 97, 2017091318, 03, AP01, 102, 253N, 1109W,  53,  987, XX,  50, NEQ,   61,    0,    0,    0, 
EP, 97, 2017091318, 03, AP01, 108, 264N, 1109W,  55,  989, XX,  34, NEQ,   81,   91,   57,   69, 
EP, 97, 2017091318, 03, AP01, 108, 264N, 1109W,  55,  989, XX,  50, NEQ,   54,    0,    0,    0, 
