WP, 23, 2017100718, 03, AVNO,  90, 212N,  946E,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  12, 163N, 1178E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  24, 167N, 1168E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  36, 170N, 1159E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  48, 174N, 1151E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  60, 179N, 1143E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  72, 183N, 1137E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  84, 188N, 1133E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120,  96, 192N, 1130E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120, 108, 196N, 1129E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, C120, 120, 201N, 1129E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIM,  12, 165N, 1169E,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIM,  24, 169N, 1151E,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIM,  36, 174N, 1137E,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIM,  48, 178N, 1126E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIM,  72, 181N, 1106E,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIP,  12, 164N, 1177E,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIP,  24, 169N, 1167E,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIP,  36, 175N, 1159E,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIP,  48, 180N, 1155E,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, CLIP,  72, 190N, 1150E,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, FBAM,  12, 164N, 1169E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 23, 2017100718, 03, FBAM,  24, 170N, 1138E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
