AL, 17, 2007121012,   , BEST,   0, 183N,  618W,  35, 1009, LO,  34, NEQ,  175,    0,    0,  175, 1011,  120, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 17, 2007121018,   , BEST,   0, 183N,  632W,  35, 1008, LO,  34, NEQ,  175,    0,    0,  175, 1011,  200, 175,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 17, 2007121100,   , BEST,   0, 184N,  647W,  35, 1007, SS,  34, NEQ,  175,    0,    0,  175, 1011,  200, 125,  45,   0,   L,   0,    ,   0,   0,       OLGA, D, 
AL, 17, 2007121106,   , BEST,   0, 185N,  663W,  40, 1005, SS,  34, NEQ,  200,    0,    0,  150, 1012,  200, 125,  50,   0,   L,   0,    ,   0,   0,       OLGA, D, 
AL, 17, 2007121112,   , BEST,   0, 183N,  674W,  45, 1004, SS,  34, NEQ,  225,    0,    0,  150, 1012,  200, 125,  50,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121118,   , BEST,   0, 185N,  684W,  50, 1003, TS,  34, NEQ,  225,   30,    0,  175, 1012,  200, 125,  50,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121118,   , BEST,   0, 185N,  684W,  50, 1003, TS,  50, NEQ,   90,    0,    0,    0, 1012,  200, 125,  50,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121200,   , BEST,   0, 190N,  700W,  50, 1003, TS,  34, NEQ,  225,   75,    0,  175, 1012,  200,  40,  60,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121200,   , BEST,   0, 190N,  700W,  50, 1003, TS,  50, NEQ,   60,    0,    0,   40, 1012,  200,  40,  60,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121206,   , BEST,   0, 191N,  719W,  40, 1005, TS,  34, NEQ,  300,    0,    0,  175, 1010,  150,  40,  55,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121212,   , BEST,   0, 191N,  738W,  35, 1008, TS,  34, NEQ,  300,    0,    0,    0, 1010,  255, 250,  45,   0,   L,   0,    ,   0,   0,       OLGA, M, 
AL, 17, 2007121218,   , BEST,   0, 190N,  757W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,   90,  60,  40,   0,   L,   0,    ,   0,   0,       OLGA, S, 
AL, 17, 2007121300,   , BEST,   0, 189N,  772W,  30, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,   90,  60,  35,   0,   L,   0,    ,   0,   0,       OLGA, S, 
AL, 17, 2007121306,   , BEST,   0, 190N,  787W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121312,   , BEST,   0, 194N,  801W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,   90,  60,   0,   0,   L,   0,    ,   0,   0,       OLGA, S, 
AL, 17, 2007121318,   , BEST,   0, 196N,  813W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  60,   0,   0,   L,   0,    ,   0,   0,       OLGA, S, 
AL, 17, 2007121400,   , BEST,   0, 197N,  823W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121406,   , BEST,   0, 197N,  833W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121412,   , BEST,   0, 196N,  842W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121418,   , BEST,   0, 195N,  851W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121500,   , BEST,   0, 200N,  858W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121506,   , BEST,   0, 206N,  865W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121512,   , BEST,   0, 217N,  874W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121518,   , BEST,   0, 233N,  882W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121600,   , BEST,   0, 250N,  872W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 
AL, 17, 2007121606,   , BEST,   0, 263N,  852W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 
