AL, 28, 2005112706,   , BEST,   0, 248N,  340W,  45,  993, TS,  34, NEQ,  100,  100,   90,   75, 1009,  450,  40,  45,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112712,   , BEST,   0, 267N,  319W,  60,  982, TS,  34, NEQ,  120,  120,   90,  120, 1009,  450,  40,  55,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112712,   , BEST,   0, 267N,  319W,  60,  982, TS,  50, NEQ,   60,   60,    0,   60, 1009,  450,  40,  55,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112718,   , BEST,   0, 283N,  299W,  60,  982, TS,  34, NEQ,  120,  120,   90,  120, 1009,  450,  40,  75,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112718,   , BEST,   0, 283N,  299W,  60,  982, TS,  50, NEQ,   60,   60,    0,   60, 1009,  450,  40,  75,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112800,   , BEST,   0, 291N,  275W,  60,  983, TS,  34, NEQ,  120,  120,   90,  120, 1010,  350,  50,  65,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112800,   , BEST,   0, 291N,  275W,  60,  983, TS,  50, NEQ,   60,   60,    0,   60, 1010,  350,  50,  65,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112806,   , BEST,   0, 299N,  248W,  60,  984, TS,  34, NEQ,  125,  150,  100,  125, 1008,  300,  50,  60,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112806,   , BEST,   0, 299N,  248W,  60,  984, TS,  50, NEQ,   60,  100,   75,   60, 1008,  300,  50,  60,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112812,   , BEST,   0, 302N,  216W,  60,  985, EX,  34, NEQ,  125,  165,  165,  125, 1008,  300,  60,  65,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112812,   , BEST,   0, 302N,  216W,  60,  985, EX,  50, NEQ,   60,  110,   90,   65, 1008,  300,  60,  65,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112818,   , BEST,   0, 302N,  182W,  60,  986, EX,  34, NEQ,  125,  180,  210,  125, 1008,  300,  60,   0,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112818,   , BEST,   0, 302N,  182W,  60,  986, EX,  50, NEQ,   60,  120,   90,   75, 1008,  300,  60,   0,   0,   L,   0,    ,   0,   0,      DELTA, M, 
AL, 28, 2005112900,   , BEST,   0, 302N,  146W,  55,  988, EX,  34, NEQ,  125,  165,  150,  105, 
AL, 28, 2005112900,   , BEST,   0, 302N,  146W,  55,  988, EX,  50, NEQ,   60,   90,   75,   60, 
AL, 28, 2005112906,   , BEST,   0, 307N,  109W,  50,  992, EX,  34, NEQ,  125,  150,  100,   90, 
AL, 28, 2005112906,   , BEST,   0, 307N,  109W,  50,  992, EX,  50, NEQ,   60,   75,   60,   45, 
AL, 28, 2005112912,   , BEST,   0, 326N,   66W,  35, 1000, EX,  34, NEQ,    0,  150,  150,    0, 
AL, 28, 2005112918,   , BEST,   0, 353N,   10W,  30, 1003, EX,   0,    ,    0,    0,    0,    0, 
