AL, 03, 2005070218, 03, BAMS,  36, 216N,  894W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS,  48, 232N,  918W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS,  60, 247N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS,  72, 262N,  957W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS,  84, 272N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS,  96, 283N,  984W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS, 108, 292N,  993W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, BAMS, 120, 303N,  999W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLIP,  12, 192N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLIP,  24, 203N,  847W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLIP,  36, 214N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLIP,  48, 225N,  863W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLIP,  72, 249N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  12, 193N,  838W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  24, 203N,  849W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  36, 213N,  858W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  48, 223N,  864W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  60, 232N,  869W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  72, 243N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  84, 255N,  877W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5,  96, 267N,  879W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5, 108, 277N,  884W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, CLP5, 120, 288N,  888W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,   0, 182N,  825W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  12, 191N,  846W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  24, 202N,  869W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  36, 216N,  894W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  48, 233N,  917W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  60, 247N,  935W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  72, 261N,  951W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  84, 271N,  960W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP,  96, 279N,  969W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP, 108, 286N,  974W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSHP, 120, 292N,  980W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,   0, 182N,  825W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  12, 191N,  846W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  24, 202N,  869W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  36, 216N,  894W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  48, 233N,  917W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  60, 247N,  935W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  72, 261N,  951W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  84, 271N,  960W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS,  96, 279N,  969W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS, 108, 286N,  974W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, DSNS, 120, 292N,  980W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, GFDL,   0, 179N,  827W,  22, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, GFDL,   6, 182N,  836W,  25, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, GFDL,  12, 184N,  848W,  26, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, 03, 2005070218, 03, GFDL,  18, 189N,  860W,  31, 1007,   ,   0,    ,    0,    0,    0,    0, 
