AL, 18, 2005091618, 01, CARQ, -24, 200N,  610W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2005091618, 01, CARQ, -18, 203N,  614W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2005091618, 01, CARQ, -12, 205N,  619W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 293,   5, 
AL, 18, 2005091618, 01, CARQ,  -6, 207N,  624W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2005091618, 01, CARQ,   0, 209N,  629W,  25, 1012, DB,  34, NEQ,    0,    0,    0,    0, 1015,  150,  60,   0,   0,   L,   0,   X, 295,   5,     INVEST, M, 
AL, 18, 2005091618, 01, CARQ,   0, 209N,  629W,  25, 1012, DB,  50, NEQ,    0,    0,    0,    0, 1015,  150,  60,   0,   0,   L,   0,   X, 295,   5,     INVEST, M, 
AL, 18, 2005091618, 01, CARQ,   0, 209N,  629W,  25, 1012, DB,  64, NEQ,    0,    0,    0,    0, 1015,  150,  60,   0,   0,   L,   0,   X, 295,   5,     INVEST, M, 
AL, 18, 2005091618, 03, A90E,   0, 209N,  629W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  12, 213N,  639W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  24, 215N,  652W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  36, 217N,  665W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  48, 222N,  681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  60, 223N,  700W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  72, 225N,  722W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  84, 226N,  744W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E,  96, 225N,  764W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E, 108, 219N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A90E, 120, 214N,  798W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,   0, 209N,  629W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  12, 213N,  639W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  24, 214N,  651W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  36, 217N,  664W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  48, 222N,  680W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  60, 222N,  698W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  72, 224N,  720W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  84, 225N,  742W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E,  96, 223N,  762W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E, 108, 219N,  779W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, A98E, 120, 214N,  793W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  12, 214N,  641W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  24, 219N,  652W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  36, 223N,  663W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  48, 228N,  675W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  60, 231N,  686W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  72, 233N,  698W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  84, 233N,  711W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD,  96, 234N,  724W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD, 108, 236N,  733W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMD, 120, 239N,  740W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  12, 214N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  24, 219N,  664W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  36, 224N,  680W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  48, 229N,  695W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  60, 232N,  709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  72, 233N,  723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  84, 231N,  740W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM,  96, 229N,  756W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM, 108, 225N,  770W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMM, 120, 222N,  782W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMS,  12, 215N,  650W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMS,  24, 223N,  672W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2005091618, 03, BAMS,  36, 229N,  691W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
