EP, 11, 2005091518, 03, GUNA,  72, 141N, 1272W,   0,  154,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091518, 03, GUNA,  96, 138N, 1287W,   0,  175,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091518, 03, GUNA, 120, 143N, 1293W,   0,  200,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  12, 133N, 1221W,   0,   39,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  24, 138N, 1231W,   0,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  36, 142N, 1242W,   0,   87,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  48, 146N, 1252W,   0,  113,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  72, 151N, 1274W,   0,  142,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU,  96, 150N, 1290W,   0,  175,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, CONU, 120, 158N, 1295W,   0,  295,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  12, 134N, 1222W,   0,   40,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  24, 139N, 1233W,   0,   65,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  36, 142N, 1244W,   0,   88,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  48, 147N, 1254W,   0,  110,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  72, 151N, 1276W,   0,  142,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA,  96, 149N, 1293W,   0,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091600, 03, GUNA, 120, 155N, 1299W,   0,  222,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091606, 03, CONU,  12, 132N, 1233W,   0,   35,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091606, 03, CONU,  24, 137N, 1244W,   0,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 11, 2005091606, 03, CONU,  36, 141N, 1256W,   0,   85,   ,   0,    ,    0,    0,    0,    0, 
