EP, 14, 2005092300,   , BEST,   0, 148N, 1085W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  30,  40,   0,   E,   0,    ,   0,   0,   FOURTEEN, D, 
EP, 14, 2005092306,   , BEST,   0, 149N, 1091W,  30, 1006, TD,  34, NEQ,    0,    0,    0,    0, 1011,  150,  30,  45,   0,   E,   0,    ,   0,   0,   FOURTEEN, D, 
EP, 14, 2005092312,   , BEST,   0, 150N, 1096W,  35, 1005, TS,  34, NEQ,    0,    0,   60,   60, 1008,  150,  30,  50,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092318,   , BEST,   0, 152N, 1099W,  40, 1003, TS,  34, NEQ,    0,   40,   60,   40, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092400,   , BEST,   0, 154N, 1102W,  40, 1002, TS,  34, NEQ,    0,   60,   75,    0, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092406,   , BEST,   0, 157N, 1104W,  45, 1000, TS,  34, NEQ,    0,   75,   90,    0, 1008,  150,  30,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092412,   , BEST,   0, 160N, 1106W,  45,  998, TS,  34, NEQ,    0,   75,   90,    0, 1008,  150,  30,  60,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092418,   , BEST,   0, 163N, 1108W,  50,  997, TS,  34, NEQ,   40,   75,   90,   40, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092418,   , BEST,   0, 163N, 1108W,  50,  997, TS,  50, NEQ,   15,   20,   20,   15, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092500,   , BEST,   0, 167N, 1110W,  45,  998, TS,  34, NEQ,   40,   75,   90,   40, 1008,  150,  20,  65,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092506,   , BEST,   0, 171N, 1112W,  45,  999, TS,  34, NEQ,   40,   75,   90,   40, 1008,  150,  25,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092512,   , BEST,   0, 176N, 1117W,  45, 1000, TS,  34, NEQ,   60,   75,   90,   60, 1008,  150,  25,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092518,   , BEST,   0, 180N, 1122W,  45, 1000, TS,  34, NEQ,   60,   75,   90,   60, 1008,  150,  25,  55,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092600,   , BEST,   0, 185N, 1128W,  40, 1001, TS,  34, NEQ,   75,   75,   75,   60, 1007,  175,  25,  50,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092606,   , BEST,   0, 190N, 1134W,  40, 1002, TS,  34, NEQ,   75,   50,   50,   60, 1010,  175,  25,  50,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092612,   , BEST,   0, 196N, 1140W,  35, 1003, TS,  34, NEQ,   60,    0,    0,   60, 1010,  175,  25,  45,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092618,   , BEST,   0, 203N, 1147W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1010,  175,  25,  45,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092700,   , BEST,   0, 210N, 1153W,  30, 1005, TD,  34, NEQ,    0,    0,    0,    0, 1010,  175,  25,  40,   0,   E,   0,    ,   0,   0,      NORMA, D, 
EP, 14, 2005092706,   , BEST,   0, 216N, 1161W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  175,  25,  35,   0,   E,   0,    ,   0,   0,      NORMA, M, 
EP, 14, 2005092712,   , BEST,   0, 220N, 1167W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092718,   , BEST,   0, 223N, 1173W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092800,   , BEST,   0, 223N, 1178W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092806,   , BEST,   0, 222N, 1183W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092812,   , BEST,   0, 219N, 1187W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092818,   , BEST,   0, 215N, 1190W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092900,   , BEST,   0, 211N, 1194W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092906,   , BEST,   0, 206N, 1199W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092912,   , BEST,   0, 200N, 1204W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005092918,   , BEST,   0, 195N, 1207W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005093000,   , BEST,   0, 192N, 1207W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005093006,   , BEST,   0, 189N, 1205W,  15, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005093012,   , BEST,   0, 188N, 1202W,  15, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005093018,   , BEST,   0, 187N, 1199W,  15, 1010, LO,   0,    ,    0,    0,    0,    0, 
EP, 14, 2005100100,   , BEST,   0, 186N, 1195W,  15, 1010, LO,   0,    ,    0,    0,    0,    0, 
