AL, 17, 2005091318, 03, BAMS,  36,  94N,  441W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS,  48,  98N,  459W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS,  60, 107N,  475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS,  72, 120N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS,  84, 132N,  496W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS,  96, 145N,  505W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS, 108, 155N,  512W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMS, 120, 168N,  517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLIP,  12,  97N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLIP,  24, 102N,  432W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLIP,  36, 107N,  459W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLIP,  48, 114N,  488W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLIP,  72, 131N,  544W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  12,  98N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  24, 102N,  429W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  36, 106N,  451W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  48, 114N,  475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  60, 118N,  498W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  72, 122N,  519W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  84, 128N,  544W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5,  96, 138N,  570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5, 108, 151N,  596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, CLP5, 120, 161N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,   0,  95N,  385W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  12,  98N,  403W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  24, 100N,  420W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  36, 102N,  440W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  48, 107N,  460W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  60, 114N,  480W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  72, 124N,  498W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  84, 134N,  513W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP,  96, 146N,  526W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP, 108, 156N,  536W,  75,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSHP, 120, 166N,  546W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,   0,  95N,  385W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  12,  98N,  403W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  24, 100N,  420W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  36, 102N,  440W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  48, 107N,  460W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  60, 114N,  480W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  72, 124N,  498W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  84, 134N,  513W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS,  96, 146N,  526W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS, 108, 156N,  536W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, DSNS, 120, 166N,  546W,  80,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDL,   0,  95N,  383W,  16, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT,   0,  91N,  382W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT,   6,  89N,  388W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT,  12,  82N,  390W,  36, 1010, XX,  34, NEQ,    0,   26,   22,    0, 
AL, 17, 2005091318, 03, GFDT,  18,  82N,  387W,  41, 1009, XX,  34, NEQ,   18,   38,   20,    0, 
AL, 17, 2005091318, 03, GFDT,  24,  85N,  389W,  45, 1008, XX,  34, NEQ,   27,   45,   78,    0, 
AL, 17, 2005091318, 03, GFDT,  30,  86N,  390W,  49, 1008, XX,  34, NEQ,   31,   60,   31,    0, 
AL, 17, 2005091318, 03, GFDT,  36,  91N,  396W,  42, 1006, XX,  34, NEQ,   78,    0,    0,   64, 
AL, 17, 2005091318, 03, GFDT,  42,  96N,  407W,  46, 1007, XX,  34, NEQ,   73,   42,    0,   62, 
AL, 17, 2005091318, 03, GFDT,  48, 102N,  421W,  42, 1005, XX,  34, NEQ,  101,   49,    0,   65, 
AL, 17, 2005091318, 03, GFDT,  54, 108N,  433W,  37, 1008, XX,  34, NEQ,  112,   69,    0,   99, 
AL, 17, 2005091318, 03, GFDT,  60, 116N,  446W,  36, 1007, XX,  34, NEQ,  122,    0,    0,  115, 
AL, 17, 2005091318, 03, GFDT,  66, 123N,  459W,  35, 1008, XX,  34, NEQ,  110,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT,  72, 130N,  472W,  34, 1006, XX,  34, NEQ,  112,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT,  78, 135N,  485W,  36, 1006, XX,  34, NEQ,  140,    0,    0,  117, 
AL, 17, 2005091318, 03, GFDT,  84, 140N,  498W,  35, 1005, XX,  34, NEQ,  127,    0,    0,  127, 
AL, 17, 2005091318, 03, GFDT,  90, 145N,  508W,  34, 1004, XX,  34, NEQ,  100,    0,    0,  100, 
AL, 17, 2005091318, 03, GFDT,  96, 149N,  515W,  33, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT, 102, 151N,  521W,  35, 1002, XX,  34, NEQ,  194,    0,    0,  141, 
AL, 17, 2005091318, 03, GFDT, 108, 155N,  526W,  33, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT, 114, 161N,  531W,  35, 1001, XX,  34, NEQ,  170,    0,    0,  171, 
AL, 17, 2005091318, 03, GFDT, 120, 168N,  535W,  34, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, GFDT, 126, 173N,  538W,  36, 1000, XX,  34, NEQ,  193,    0,    0,  140, 
AL, 17, 2005091318, 03, LBAR,   0,  95N,  385W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  12,  96N,  404W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  24,  96N,  425W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  36,  97N,  450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  48,  97N,  479W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  60,  98N,  509W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
