CP, 01, 2005080318, 03, AN01,  96, 161N, 1498W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 102, 165N, 1494W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 108, 164N, 1495W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 114, 164N, 1497W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 120, 165N, 1497W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 126, 163N, 1503W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 132, 159N, 1508W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 138, 159N, 1515W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 144, 165N, 1522W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN01, 150, 169N, 1530W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,   0, 140N, 1415W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,   6, 150N, 1441W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  12, 159N, 1458W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  18, 161N, 1470W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  24, 168N, 1482W,  34, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  30, 171N, 1498W,  36, 1007, XX,  34, NEQ,  147,    0,    0,  120, 
CP, 01, 2005080318, 03, AN02,  36, 171N, 1511W,  34, 1007, XX,  34, NEQ,  118,    0,    0,  131, 
CP, 01, 2005080318, 03, AN02,  42, 173N, 1525W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  48, 174N, 1537W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  54, 178N, 1548W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  60, 177N, 1566W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  66, 173N, 1583W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  72, 169N, 1597W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  78, 164N, 1615W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN02,  84, 168N, 1633W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,   0, 147N, 1406W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,   6, 151N, 1416W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  12, 158N, 1421W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  18, 163N, 1432W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  24, 164N, 1441W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  30, 167N, 1455W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  36, 170N, 1470W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  42, 167N, 1483W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  48, 167N, 1496W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
