EP, 95, 2020081500, 03, AC00,   6,  93N,  878W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  12,  97N,  890W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  18, 100N,  900W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  24, 101N,  911W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  30, 103N,  927W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  36, 108N,  936W,  29, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  42, 112N,  947W,  34, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 95, 2020081500, 03, AC00,  48, 114N,  963W,  35, 1003, XX,  34, NEQ,    0,    0,    0,   69, 
EP, 95, 2020081500, 03, AC00,  54, 117N,  978W,  35, 1005, XX,  34, NEQ,    0,    0,    0,   66, 
EP, 95, 2020081500, 03, AC00,  60, 124N,  990W,  38, 1002, XX,  34, NEQ,   79,    0,    0,   76, 
EP, 95, 2020081500, 03, AC00,  66, 127N, 1005W,  41, 1002, XX,  34, NEQ,   86,    0,    0,   81, 
EP, 95, 2020081500, 03, AC00,  72, 131N, 1016W,  43,  998, XX,  34, NEQ,  109,    0,   54,   89, 
EP, 95, 2020081500, 03, AC00,  78, 136N, 1029W,  46,  998, XX,  34, NEQ,  120,   46,   56,   91, 
EP, 95, 2020081500, 03, AC00,  84, 142N, 1041W,  45,  995, XX,  34, NEQ,  114,   92,   62,   84, 
EP, 95, 2020081500, 03, AC00,  90, 148N, 1048W,  49,  995, XX,  34, NEQ,  113,   86,   77,  104, 
EP, 95, 2020081500, 03, AC00,  96, 155N, 1056W,  45,  991, XX,  34, NEQ,  135,   97,   79,  101, 
EP, 95, 2020081500, 03, AC00, 102, 163N, 1066W,  47,  991, XX,  34, NEQ,  157,  105,   74,  104, 
EP, 95, 2020081500, 03, AC00, 108, 170N, 1074W,  51,  986, XX,  34, NEQ,  122,   90,   83,  102, 
