EP, 99, 2020071718,   , BEST,   0, 111N, 1179W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS013,  ,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071800,   , BEST,   0, 119N, 1194W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS013,  ,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071806,   , BEST,   0, 126N, 1207W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS013,  ,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071812,   , BEST,   0, 133N, 1219W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  100,  50,   0,   0,    ,   0,    ,   0,   0, GENESIS013,  ,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071818,   , BEST,   0, 139N, 1231W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  100,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 013, SPAWNINVEST, ep742020 to ep992020, 
EP, 99, 2020071900,   , BEST,   0, 143N, 1243W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  100,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071906,   , BEST,   0, 147N, 1254W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  100,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071912,   , BEST,   0, 152N, 1264W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020071918,   , BEST,   0, 161N, 1271W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020072000,   , BEST,   0, 170N, 1280W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  40,   0,   0,   E,   0,    ,   0,   0,     INVEST, D,  0,    ,    0,    0,    0,    0, genesis-num, 013, 
EP, 99, 2020072006,   , BEST,   0, 177N, 1289W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  120,  30,  40,   0,   E,   0,    ,   0,   0,      SEVEN, D,  0,    ,    0,    0,    0,    0, genesis-num, 013, TRANSITIONED, epA92020 to ep072020, 
EP, 99, 2020072012,   , BEST,   0, 184N, 1298W,  30, 1008, TD,  34, NEQ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   E,   0,    ,   0,   0,      SEVEN, M,  0,    ,    0,    0,    0,    0, genesis-num, 013, DISSIPATED, ep072020 to ep992020, 
