AL, 92, 2020072418, 03, AP02, 126, 120N,  485W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 132, 125N,  495W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 138, 127N,  509W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 144, 130N,  529W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 150, 138N,  540W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 156, 147N,  552W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 162, 154N,  569W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 168, 161N,  586W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 174, 164N,  599W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 180, 169N,  613W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 186, 175N,  630W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 192, 182N,  646W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 198, 187N,  660W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 204, 193N,  673W,  36, 1008, XX,  34, NEQ,   77,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 210, 201N,  686W,  36, 1007, XX,  34, NEQ,   74,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 216, 207N,  699W,  36, 1007, XX,  34, NEQ,   79,    0,    0,   76, 
AL, 92, 2020072418, 03, AP02, 222, 213N,  707W,  35, 1006, XX,  34, NEQ,   77,    0,    0,   72, 
AL, 92, 2020072418, 03, AP02, 228, 216N,  718W,  37, 1005, XX,  34, NEQ,   95,    0,    0,   83, 
AL, 92, 2020072418, 03, AP02, 234, 222N,  728W,  35, 1006, XX,  34, NEQ,   92,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02, 240, 230N,  735W,  35, 1005, XX,  34, NEQ,  104,    0,    0,    0, 
AL, 92, 2020072418, 03, AP03,   0, 104N,  223W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP04,   0, 121N,  222W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,   0, 122N,  224W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,   6, 123N,  243W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  12, 114N,  270W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  18, 107N,  270W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  24, 112N,  265W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  30, 119N,  259W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  36, 116N,  272W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  42, 108N,  288W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  48, 110N,  297W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  54, 112N,  321W,  13, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  60, 111N,  330W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  66, 112N,  344W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  72, 112N,  354W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  78, 110N,  366W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  84, 112N,  378W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  90, 111N,  391W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05,  96, 108N,  401W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 102, 109N,  413W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 108, 108N,  423W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 114, 107N,  434W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 120, 106N,  444W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 126, 104N,  459W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 132, 101N,  478W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 138, 104N,  496W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 144, 104N,  512W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 150, 101N,  524W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 156, 100N,  537W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 162, 102N,  548W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 168, 104N,  559W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 174, 105N,  568W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 180, 106N,  579W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 186, 109N,  591W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 192, 112N,  601W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 198, 114N,  608W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 204, 114N,  619W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 210, 119N,  626W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 216, 118N,  641W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 222, 127N,  646W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 228, 135N,  662W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 234, 142N,  674W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP05, 240, 148N,  686W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,   0, 113N,  223W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,   6, 115N,  247W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  12, 105N,  258W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  18, 105N,  251W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  24, 112N,  253W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  30, 118N,  257W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  36, 109N,  270W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  42, 105N,  286W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  48, 108N,  300W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  54, 108N,  328W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  60, 107N,  340W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  66, 105N,  351W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  72, 100N,  362W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  78,  99N,  373W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP06,  84,  96N,  382W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
