CP, 90, 2020081512, 03,  CMC, 228, 139N, 1688E,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC, 234, 139N, 1685E,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC, 240, 142N, 1683E,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,   0, 111N, 1521W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,   6, 109N, 1530W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  12, 111N, 1540W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  18, 110N, 1554W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  24, 112N, 1568W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  30, 109N, 1573W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  36, 109N, 1578W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  42, 104N, 1585W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  48,  96N, 1591W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  54,  95N, 1600W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  60,  94N, 1606W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  66,  94N, 1613W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  72,  92N, 1623W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  EMX,  78,  90N, 1637W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
