AL, 08, 2012081806,   , BEST,   0, 340N,  415W,  65,  987, HU,  34, NEQ,   80,  110,  110,   80, 1013,  150,  25,  75,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  200,  120
AL, 08, 2012081806,   , BEST,   0, 340N,  415W,  65,  987, HU,  50, NEQ,   20,   50,   50,    0, 1013,  150,  25,  75,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  200,  120
AL, 08, 2012081806,   , BEST,   0, 340N,  415W,  65,  987, HU,  64, NEQ,    0,   20,   20,    0, 1013,  150,  25,  75,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  200,  120
AL, 08, 2012081812,   , BEST,   0, 340N,  396W,  75,  979, HU,  34, NEQ,   80,  110,  110,   80, 1013,  175,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  180,  240,  120
AL, 08, 2012081812,   , BEST,   0, 340N,  396W,  75,  979, HU,  50, NEQ,   30,   60,   60,    0, 1013,  175,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  180,  240,  120
AL, 08, 2012081812,   , BEST,   0, 340N,  396W,  75,  979, HU,  64, NEQ,    0,   30,   30,    0, 1013,  175,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  180,  240,  120
AL, 08, 2012081818,   , BEST,   0, 340N,  375W,  90,  969, HU,  34, NEQ,   80,  110,  110,   80, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 
AL, 08, 2012081818,   , BEST,   0, 340N,  375W,  90,  969, HU,  50, NEQ,   40,   60,   60,   20, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 
AL, 08, 2012081818,   , BEST,   0, 340N,  375W,  90,  969, HU,  64, NEQ,   20,   30,   30,    0, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 
AL, 08, 2012081900,   , BEST,   0, 343N,  350W,  95,  965, HU,  34, NEQ,   80,  110,  110,   80, 1013,  175,  25, 115,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  210,  240,  150
AL, 08, 2012081900,   , BEST,   0, 343N,  350W,  95,  965, HU,  50, NEQ,   40,   60,   60,   40, 1013,  175,  25, 115,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  210,  240,  150
AL, 08, 2012081900,   , BEST,   0, 343N,  350W,  95,  965, HU,  64, NEQ,   20,   30,   30,   20, 1013,  175,  25, 115,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  210,  240,  150
AL, 08, 2012081906,   , BEST,   0, 347N,  326W,  90,  969, HU,  34, NEQ,   80,  110,  110,   80, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  150
AL, 08, 2012081906,   , BEST,   0, 347N,  326W,  90,  969, HU,  50, NEQ,   40,   60,   60,   40, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  150
AL, 08, 2012081906,   , BEST,   0, 347N,  326W,  90,  969, HU,  64, NEQ,   20,   30,   30,   20, 1013,  175,  25, 110,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  150
AL, 08, 2012081912,   , BEST,   0, 352N,  306W,  90,  969, HU,  34, NEQ,   70,  110,  110,   80, 1012,  175,  25, 105,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  180
AL, 08, 2012081912,   , BEST,   0, 352N,  306W,  90,  969, HU,  50, NEQ,   30,   60,   60,   40, 1012,  175,  25, 105,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  180
AL, 08, 2012081912,   , BEST,   0, 352N,  306W,  90,  969, HU,  64, NEQ,   20,   30,   30,   20, 1012,  175,  25, 105,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  180,  240,  180
AL, 08, 2012081918,   , BEST,   0, 357N,  285W,  80,  977, HU,  34, NEQ,   70,  110,  110,   80, 1012,  160,  25,  90,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  120,  140
AL, 08, 2012081918,   , BEST,   0, 357N,  285W,  80,  977, HU,  50, NEQ,   30,   60,   60,   40, 1012,  160,  25,  90,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  120,  140
AL, 08, 2012081918,   , BEST,   0, 357N,  285W,  80,  977, HU,  64, NEQ,   20,   30,   30,   20, 1012,  160,  25,  90,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,   90,  120,  120,  140
