EP, 05, 2012070912,   , BEST,   0, 124N, 1099W,  85,  974, HU,  64, NEQ,   20,   20,   10,   20, 1008,  200,  15, 105,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  120,   60,   45,  120
EP, 05, 2012070918,   , BEST,   0, 128N, 1109W,  95,  968, HU,  34, NEQ,  110,  100,   60,   80, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012070918,   , BEST,   0, 128N, 1109W,  95,  968, HU,  50, NEQ,   60,   60,   40,   50, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012070918,   , BEST,   0, 128N, 1109W,  95,  968, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012071000,   , BEST,   0, 132N, 1119W, 110,  954, HU,  34, NEQ,  110,  110,   60,   80, 1008,  200,  15, 130,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012071000,   , BEST,   0, 132N, 1119W, 110,  954, HU,  50, NEQ,   60,   70,   40,   50, 1008,  200,  15, 130,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012071000,   , BEST,   0, 132N, 1119W, 110,  954, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 130,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,   90,   75,  120
EP, 05, 2012071006,   , BEST,   0, 136N, 1129W, 120,  945, HU,  34, NEQ,  110,  110,   70,   90, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,  120,   75,  120
EP, 05, 2012071006,   , BEST,   0, 136N, 1129W, 120,  945, HU,  50, NEQ,   70,   70,   40,   60, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,  120,   75,  120
EP, 05, 2012071006,   , BEST,   0, 136N, 1129W, 120,  945, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  150,  120,   75,  120
EP, 05, 2012071012,   , BEST,   0, 139N, 1138W, 115,  948, HU,  34, NEQ,  110,  110,   70,   90, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,   90,  150
EP, 05, 2012071012,   , BEST,   0, 139N, 1138W, 115,  948, HU,  50, NEQ,   70,   60,   40,   60, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,   90,  150
EP, 05, 2012071012,   , BEST,   0, 139N, 1138W, 115,  948, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 140,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,   90,  150
EP, 05, 2012071018,   , BEST,   0, 142N, 1146W, 105,  953, HU,  34, NEQ,   90,   90,   70,   80, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  225,  140,   90,  150
EP, 05, 2012071018,   , BEST,   0, 142N, 1146W, 105,  953, HU,  50, NEQ,   60,   50,   40,   50, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  225,  140,   90,  150
EP, 05, 2012071018,   , BEST,   0, 142N, 1146W, 105,  953, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  225,  140,   90,  150
EP, 05, 2012071100,   , BEST,   0, 144N, 1155W,  95,  967, HU,  34, NEQ,   90,   90,   70,   80, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  210,  120,   90,  120
EP, 05, 2012071100,   , BEST,   0, 144N, 1155W,  95,  967, HU,  50, NEQ,   50,   50,   40,   50, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  210,  120,   90,  120
EP, 05, 2012071100,   , BEST,   0, 144N, 1155W,  95,  967, HU,  64, NEQ,   30,   30,   20,   30, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  210,  120,   90,  120
EP, 05, 2012071106,   , BEST,   0, 145N, 1163W,  90,  970, HU,  34, NEQ,   90,   90,   70,   80, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071106,   , BEST,   0, 145N, 1163W,  90,  970, HU,  50, NEQ,   50,   50,   40,   50, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071106,   , BEST,   0, 145N, 1163W,  90,  970, HU,  64, NEQ,   30,   20,   20,   30, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071112,   , BEST,   0, 146N, 1172W,  95,  970, HU,  34, NEQ,   90,   90,   70,   80, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071112,   , BEST,   0, 146N, 1172W,  95,  970, HU,  50, NEQ,   50,   50,   40,   50, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071112,   , BEST,   0, 146N, 1172W,  95,  970, HU,  64, NEQ,   30,   20,   20,   30, 1008,  200,  15, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071118,   , BEST,   0, 147N, 1180W, 100,  960, HU,  34, NEQ,   90,   90,   70,   80, 1008,  200,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071118,   , BEST,   0, 147N, 1180W, 100,  960, HU,  50, NEQ,   50,   50,   40,   50, 1008,  200,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071118,   , BEST,   0, 147N, 1180W, 100,  960, HU,  64, NEQ,   30,   20,   20,   30, 1008,  200,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071200,   , BEST,   0, 148N, 1188W, 105,  958, HU,  34, NEQ,   90,   90,   70,   80, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071200,   , BEST,   0, 148N, 1188W, 105,  958, HU,  50, NEQ,   50,   50,   40,   50, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071200,   , BEST,   0, 148N, 1188W, 105,  958, HU,  64, NEQ,   30,   20,   20,   30, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071206,   , BEST,   0, 149N, 1197W, 100,  960, HU,  34, NEQ,   80,   80,   70,   80, 1008,  250,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071206,   , BEST,   0, 149N, 1197W, 100,  960, HU,  50, NEQ,   40,   40,   30,   40, 1008,  250,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071206,   , BEST,   0, 149N, 1197W, 100,  960, HU,  64, NEQ,   20,   20,   20,   20, 1008,  250,  15, 115,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071212,   , BEST,   0, 150N, 1208W, 100,  960, HU,  34, NEQ,   80,   80,   70,   80, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071212,   , BEST,   0, 150N, 1208W, 100,  960, HU,  50, NEQ,   40,   40,   30,   40, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
EP, 05, 2012071212,   , BEST,   0, 150N, 1208W, 100,  960, HU,  64, NEQ,   20,   20,   20,   20, 1008,  250,  15, 120,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  120,  120,  150
