IO, 90, 2016103118, 03, XTRP,  84, 114N,  777E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016103118, 03, XTRP,  96, 117N,  749E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016103118, 03, XTRP, 108, 120N,  721E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016103118, 03, XTRP, 120, 123N,  692E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016103118, 71, JNVG,   0, 105N,  973E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 71, JNVG,  12, 101N,  965E,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 71, JNVG,  24,  95N,  935E,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,   0,  95N,  967E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  12, 105N,  938E,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  24, 107N,  914E,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  36, 115N,  892E,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  48, 123N,  875E,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  60, 135N,  855E,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  72, 145N,  847E,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  84, 164N,  845E,  45,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN,  96, 184N,  855E,  55,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN, 108, 203N,  865E,  50,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016103118, 72, JAVN, 120, 217N,  875E,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
IO, 90, 2016110100, 01, CARQ, -24,  90N, 1013E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 01, CARQ, -18,  91N, 1002E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 01, CARQ, -12,  92N,  988E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 01, CARQ,  -6,  94N,  974E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 01, CARQ,   0,  96N,  966E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIM,  12, 101N,  955E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIM,  24, 109N,  942E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIM,  36, 116N,  929E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIM,  48, 123N,  915E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIM,  72, 136N,  887E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIP,  12, 101N,  944E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIP,  24, 108N,  921E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIP,  36, 115N,  899E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIP,  48, 123N,  879E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CLIP,  72, 132N,  835E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CONW,   0,  96N,  966E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, CONW,  12,  97N,  943E,  19,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, HPAC,  12, 101N,  950E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, HPAC,  24, 106N,  932E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, HPAC,  36, 112N,  915E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
IO, 90, 2016110100, 03, HPAC,  48, 117N,  897E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
