CP, 96, 2018090206, 03, AP04,  36, 446N, 1795W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP04,  42, 464N, 1796W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP04,  48, 485N, 1797W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP04,  54, 509N, 1789E,  34, 1007, XX,  34, NEQ,  182,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,   0, 395N, 1781W,  35,  997, XX,  34, NEQ,   77,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,   6, 403N, 1782W,  31,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  12, 410N, 1783W,  27, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  18, 417N, 1784W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  24, 424N, 1785W,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  30, 434N, 1785W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  36, 447N, 1783W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  42, 463N, 1781W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  48, 481N, 1781W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP05,  54, 501N, 1789W,  35, 1007, XX,  34, NEQ,  197,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,   0, 399N, 1780W,  38,  996, XX,  34, NEQ,   83,    0,    0,   74, 
CP, 96, 2018090206, 03, AP06,   6, 405N, 1783W,  31,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  12, 411N, 1784W,  29, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  18, 417N, 1788W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  24, 422N, 1792W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  30, 431N, 1795W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  36, 442N, 1796W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  42, 458N, 1795W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  48, 481N, 1790W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP06,  54, 509N, 1799W,  34, 1005, XX,  34, NEQ,  174,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,   0, 397N, 1782W,  40,  995, XX,  34, NEQ,   98,  102,    0,   85, 
