CP, 95, 2018082400, 03, EN06,  12, 190N, 1547W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN06,  18, 201N, 1568W,  32, 1004, XX,  34, NEQ,    0,    0,  191,    0, 
CP, 95, 2018082400, 03, EN07,   0, 170N, 1521W,  26, 1009, XX,  34, NEQ,    0,    0,  342,  640, 
CP, 95, 2018082400, 03, EN07,   0, 170N, 1521W,  26, 1009, XX,  50, NEQ,    0,    0,    0,  640, 
CP, 95, 2018082400, 03, EN07,   6, 181N, 1532W,  29, 1011, XX,  34, NEQ,    0,    0,  334,    0, 
CP, 95, 2018082400, 03, EN07,  12, 191N, 1545W,  28, 1000, XX,  34, NEQ,    0,    0,  269,    0, 
CP, 95, 2018082400, 03, EN07,  18, 201N, 1554W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN07,  24, 205N, 1561W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN08,   0, 171N, 1522W,  27, 1009, XX,  34, NEQ,    0,    0,  336,  630, 
CP, 95, 2018082400, 03, EN08,   0, 171N, 1522W,  27, 1009, XX,  50, NEQ,    0,    0,  335,  630, 
CP, 95, 2018082400, 03, EN08,   6, 190N, 1534W,  31, 1011, XX,  34, NEQ,    0,    0,    0,  320, 
CP, 95, 2018082400, 03, EN08,  12, 199N, 1555W,  30,  999, XX,  34, NEQ,    0,    0,  230,    0, 
CP, 95, 2018082400, 03, EN08,  18, 210N, 1570W,  29, 1003, XX,  34, NEQ,    0,    0,  209,    0, 
CP, 95, 2018082400, 03, EN09,   0, 170N, 1520W,  29, 1009, XX,  34, NEQ,    0,    0,    0,  645, 
CP, 95, 2018082400, 03, EN09,   6, 180N, 1531W,  30, 1008, XX,  34, NEQ,    0,    0,  640,  342, 
CP, 95, 2018082400, 03, EN09,  12, 190N, 1540W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  18, 198N, 1548W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  24, 209N, 1550W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  30, 211N, 1561W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  36, 215N, 1572W,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  42, 210N, 1583W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  48, 214N, 1593W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  54, 208N, 1599W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  60, 182N, 1601W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  66, 187N, 1608W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  72, 192N, 1613W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  78, 199N, 1620W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  84, 210N, 1630W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  90, 210N, 1640W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09,  96, 219N, 1651W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 102, 225N, 1663W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 108, 230N, 1680W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 114, 239N, 1692W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 120, 242N, 1708W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 126, 249N, 1722W,  40, 1005, XX,  34, NEQ,  100,    0,    0,   82, 
CP, 95, 2018082400, 03, EN09, 132, 250N, 1736W,  36, 1004, XX,  34, NEQ,  150,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 138, 257N, 1746W,  37, 1006, XX,  34, NEQ,   63,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 144, 259N, 1759W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 150, 261N, 1769W,  34, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 156, 269N, 1778W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 162, 277N, 1786W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 168, 287N, 1795W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 174, 295N, 1795E,  35, 1008, XX,  34, NEQ,   45,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 180, 300N, 1781E,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 95, 2018082400, 03, EN09, 186, 307N, 1771E,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
