AL, 94, 2018101418, 03, AP04,  30, 141N,  838W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP04,  36, 143N,  843W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP04,  42, 143N,  850W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP04,  48, 146N,  865W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,   0, 143N,  810W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,   6, 140N,  818W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  12, 138N,  822W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  18, 137N,  830W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  24, 138N,  835W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  30, 139N,  849W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  36, 140N,  851W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  42, 156N,  862W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  48, 158N,  878W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  54, 162N,  888W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP05,  60, 166N,  899W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,   0, 145N,  803W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,   6, 144N,  807W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  12, 141N,  812W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  18, 138N,  823W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  24, 137N,  831W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  30, 140N,  835W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  36, 150N,  849W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  42, 161N,  863W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  48, 162N,  875W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  54, 176N,  890W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  60, 180N,  906W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  66, 188N,  922W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  72, 190N,  935W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  78, 191N,  944W,  34, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP06,  84, 191N,  952W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,   0, 144N,  810W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,   6, 144N,  813W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  12, 144N,  821W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  18, 146N,  830W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  24, 146N,  841W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  30, 143N,  852W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  36, 150N,  865W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  42, 162N,  868W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP07,  48, 164N,  883W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP08,   0, 143N,  810W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP08,   6, 139N,  820W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP08,  12, 137N,  823W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP08,  18, 138N,  830W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP08,  24, 134N,  840W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,   0, 145N,  798W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,   6, 135N,  821W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,  12, 136N,  827W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,  18, 132N,  834W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,  24, 131N,  842W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,  30, 136N,  844W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP09,  36, 135N,  849W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP10,   0, 141N,  804W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP10,   6, 138N,  811W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP10,  12, 141N,  818W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP10,  18, 143N,  827W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,   0, 144N,  809W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,   6, 139N,  821W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  12, 138N,  824W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  18, 138N,  832W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  24, 140N,  841W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  30, 141N,  852W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  36, 149N,  862W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  42, 158N,  875W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP11,  48, 157N,  883W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP12,   0, 143N,  803W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP12,   6, 139N,  813W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP12,  12, 141N,  815W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP12,  18, 142N,  825W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP13,   0, 142N,  809W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP13,   6, 137N,  814W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP13,  12, 140N,  818W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP13,  18, 143N,  828W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP13,  24, 143N,  841W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,   0, 146N,  805W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,   6, 142N,  810W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  12, 140N,  817W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  18, 139N,  825W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  24, 141N,  832W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  30, 142N,  838W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  36, 144N,  843W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  42, 151N,  852W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  48, 155N,  870W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP14,  54, 156N,  883W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP15,   0, 147N,  801W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP15,   6, 143N,  814W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP15,  12, 136N,  827W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP15,  18, 135N,  839W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,   0, 137N,  809W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,   6, 138N,  810W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  12, 141N,  815W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  18, 140N,  827W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  24, 138N,  834W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  30, 140N,  849W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  36, 146N,  857W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
