EP, 91, 2018102118, 03, AEMN,  30, 116N, 1180W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  36, 116N, 1182W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  42, 117N, 1183W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  48, 117N, 1185W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  54, 120N, 1186W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  60, 120N, 1187W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  66, 120N, 1187W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  72, 120N, 1187W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  78, 121N, 1188W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  84, 120N, 1191W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  90, 119N, 1193W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN,  96, 118N, 1195W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 102, 118N, 1197W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 108, 118N, 1201W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 114, 118N, 1205W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 120, 119N, 1208W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 126, 120N, 1213W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 132, 123N, 1217W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 138, 124N, 1220W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 144, 123N, 1224W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 150, 126N, 1226W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 156, 121N, 1239W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 162, 121N, 1246W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AEMN, 168, 122N, 1254W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AP01,   0, 111N, 1175W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AP01,   6, 112N, 1174W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 91, 2018102118, 03, AP01,  12, 112N, 1175W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
