AL, 16, 2008090106, 03, AEMN,  48, 128N,  309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  54, 133N,  323W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  60, 136N,  342W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  66, 141N,  358W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  72, 143N,  375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  78, 147N,  389W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  84, 151N,  401W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  90, 156N,  412W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN,  96, 160N,  419W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 102, 166N,  431W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 108, 168N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 114, 171N,  450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 120, 176N,  457W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 126, 175N,  468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 132, 182N,  475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 138, 184N,  486W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 144, 187N,  498W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AEMN, 150, 192N,  509W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,   0, 118N,  176W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,   6, 104N,  188W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  12, 109N,  193W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  18, 111N,  203W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  24, 113N,  229W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  30, 121N,  254W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  36, 121N,  261W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  42, 129N,  280W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  48, 133N,  297W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
