EP, 18, 2008080818, 03, AP03,  12, 118N, 1100W,   9, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,   0, 112N, 1069W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,   6, 119N, 1077W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  12, 120N, 1090W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  18, 120N, 1094W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  24, 121N, 1094W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  30, 119N, 1098W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  36, 126N, 1102W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  42, 126N, 1116W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  48, 130N, 1121W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  54, 128N, 1119W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  60, 131N, 1128W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  66, 127N, 1134W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  72, 120N, 1131W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  78, 116N, 1130W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  84, 116N, 1139W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  90, 119N, 1142W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  96, 116N, 1162W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 102, 114N, 1168W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 108, 113N, 1163W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 114, 112N, 1173W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 120, 112N, 1178W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 126, 116N, 1185W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 132, 116N, 1187W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09, 138, 120N, 1191W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,   0, 127N, 1075W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,   6, 132N, 1085W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
