EP, 06, 2008071506,   , BEST,   0, 162N, 1107W,  70,  983, HU,  50, NEQ,   45,   30,   30,   30, 1008,  270,  15,  90,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071506,   , BEST,   0, 162N, 1107W,  70,  983, HU,  64, NEQ,   20,   20,   15,   20, 1008,  270,  15,  90,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071512,   , BEST,   0, 163N, 1117W,  70,  984, HU,  34, NEQ,   60,   60,   75,   50, 1008,  270,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071512,   , BEST,   0, 163N, 1117W,  70,  984, HU,  50, NEQ,   30,   40,   40,   25, 1008,  270,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071512,   , BEST,   0, 163N, 1117W,  70,  984, HU,  64, NEQ,   15,   15,   15,   15, 1008,  270,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071518,   , BEST,   0, 163N, 1127W,  65,  985, HU,  34, NEQ,   60,   75,   90,   50, 1008,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071518,   , BEST,   0, 163N, 1127W,  65,  985, HU,  50, NEQ,   30,   40,   40,   25, 1008,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071518,   , BEST,   0, 163N, 1127W,  65,  985, HU,  64, NEQ,   15,   15,   15,   15, 1008,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071600,   , BEST,   0, 163N, 1137W,  65,  986, HU,  34, NEQ,   75,   90,   90,   60, 1012,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071600,   , BEST,   0, 163N, 1137W,  65,  986, HU,  50, NEQ,   30,   40,   30,   25, 1012,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
