EP, 08, 2008072512,   , BEST,   0, 163N, 1152W,  65,  987, HU,  50, NEQ,   35,   30,   30,   35, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  30,  60,  90
EP, 08, 2008072512,   , BEST,   0, 163N, 1152W,  65,  987, HU,  64, NEQ,   20,    0,    0,   20, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  30,  60,  90
EP, 08, 2008072518,   , BEST,   0, 165N, 1164W,  65,  987, HU,  34, NEQ,   45,   45,   45,   60, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072518,   , BEST,   0, 165N, 1164W,  65,  987, HU,  50, NEQ,   25,   25,   25,   25, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072518,   , BEST,   0, 165N, 1164W,  65,  987, HU,  64, NEQ,   15,   15,   15,   15, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072600,   , BEST,   0, 168N, 1176W,  65,  987, HU,  34, NEQ,   45,   45,   45,   60, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 
EP, 08, 2008072600,   , BEST,   0, 168N, 1176W,  65,  987, HU,  50, NEQ,   25,   25,   25,   25, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 
EP, 08, 2008072600,   , BEST,   0, 168N, 1176W,  65,  987, HU,  64, NEQ,   15,   15,   15,   15, 1009,  200,  15,  80,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 
EP, 08, 2008072606,   , BEST,   0, 170N, 1186W,  60,  990, TS,  34, NEQ,   45,   30,   30,   60, 1009,  200,  15,  75,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072606,   , BEST,   0, 170N, 1186W,  60,  990, TS,  50, NEQ,   30,   20,   20,   30, 1009,  200,  15,  75,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
