WP, 11, 2008081112, 03, C120, 108, 365N, 1388E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, C120, 120, 375N, 1397E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIM,  12, 273N, 1237E,  10,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIM,  24, 284N, 1231E,   5,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIM,  36, 295N, 1228E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIM,  48, 316N, 1237E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIM,  72, 336N, 1280E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIP,  12, 282N, 1263E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIP,  24, 304N, 1284E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIP,  36, 321N, 1306E,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIP,  48, 334N, 1338E,  14,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, CLIP,  72, 368N, 1451E,   2,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, FBAM,  12, 277N, 1259E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, FBAM,  24, 281N, 1267E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, FBAM,  36, 283N, 1270E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, FBAM,  48, 286N, 1269E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, FBAM,  72, 296N, 1272E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, HPAC,  12, 277N, 1250E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, HPAC,  24, 294N, 1258E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, HPAC,  36, 310N, 1267E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, HPAC,  48, 332N, 1282E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, HPAC,  72, 364N, 1326E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 11, 2008081112, 03, MBAM,  12, 277N, 1262E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
