EP, 08, 2009080606,   , BEST,   0, 151N, 1308W, 125,  935, HU,  64, NEQ,   35,   35,   25,   25, 1008,  200,  10, 155,  15,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 150, 150, 100, 100
EP, 08, 2009080612,   , BEST,   0, 157N, 1315W, 120,  940, HU,  34, NEQ,  105,  135,   75,   90, 1008,  200,  10, 145,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 150, 150, 100, 100
EP, 08, 2009080612,   , BEST,   0, 157N, 1315W, 120,  940, HU,  50, NEQ,   60,   60,   45,   45, 1008,  200,  10, 145,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 150, 150, 100, 100
EP, 08, 2009080612,   , BEST,   0, 157N, 1315W, 120,  940, HU,  64, NEQ,   35,   35,   25,   25, 1008,  200,  10, 145,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 150, 150, 100, 100
EP, 08, 2009080618,   , BEST,   0, 162N, 1323W, 115,  948, HU,  34, NEQ,  105,  120,   75,   90, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080618,   , BEST,   0, 162N, 1323W, 115,  948, HU,  50, NEQ,   60,   60,   45,   45, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080618,   , BEST,   0, 162N, 1323W, 115,  948, HU,  64, NEQ,   35,   35,   25,   25, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080700,   , BEST,   0, 167N, 1332W, 115,  948, HU,  34, NEQ,  105,  120,   75,   90, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080700,   , BEST,   0, 167N, 1332W, 115,  948, HU,  50, NEQ,   60,   60,   45,   45, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080700,   , BEST,   0, 167N, 1332W, 115,  948, HU,  64, NEQ,   35,   35,   25,   25, 1008,  200,  10, 140,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180, 150, 120, 180
EP, 08, 2009080706,   , BEST,   0, 172N, 1340W, 105,  956, HU,  34, NEQ,  105,  120,   75,   90, 1008,  200,  10, 120,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150, 100, 150
