EP, 16, 2009091318,   , BEST,   0, 144N, 1038W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2009091400,   , BEST,   0, 147N, 1047W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2009091406,   , BEST,   0, 152N, 1057W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2009091412,   , BEST,   0, 157N, 1065W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091418,   , BEST,   0, 162N, 1075W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  160,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091500,   , BEST,   0, 167N, 1084W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091506,   , BEST,   0, 172N, 1093W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
EP, 16, 2009091512,   , BEST,   0, 178N, 1104W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091518,   , BEST,   0, 183N, 1117W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091600,   , BEST,   0, 184N, 1121W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2009091606,   , BEST,   0, 185N, 1123W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  45,  40,   0,   E,   0,    ,   0,   0,    SIXTEEN, M, 
EP, 16, 2009091612,   , BEST,   0, 186N, 1124W,  35, 1003, TS,  34, NEQ,   30,   60,   60,   60, 1010,  160,  45,  40,   0,   E,   0,    ,   0,   0,    SIXTEEN, D, 
EP, 16, 2009091618,   , BEST,   0, 188N, 1126W,  40, 1003, TS,  34, NEQ,   30,   60,   60,   60, 1010,  160,  45,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  45,  30,  45
EP, 16, 2009091700,   , BEST,   0, 191N, 1128W,  40, 1003, TS,  34, NEQ,   30,   60,   60,   60, 1008,  180,  45,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091706,   , BEST,   0, 192N, 1129W,  40, 1003, TS,  34, NEQ,   30,   60,   60,   60, 1008,  180,  45,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091712,   , BEST,   0, 193N, 1130W,  40, 1003, TS,  34, NEQ,   30,   60,   60,   60, 1008,  180,  45,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091718,   , BEST,   0, 193N, 1131W,  40, 1003, TS,  34, NEQ,   30,   50,   50,   50, 1008,  180,  30,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091800,   , BEST,   0, 198N, 1134W,  40, 1002, TS,  34, NEQ,   45,   45,   45,   60, 1007,  200,  30,  50,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091806,   , BEST,   0, 201N, 1139W,  35, 1004, TS,  34, NEQ,   45,   45,   45,   60, 1007,  200,  30,  45,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  60,  60,  60
EP, 16, 2009091812,   , BEST,   0, 205N, 1144W,  35, 1004, TS,  34, NEQ,   30,    0,   15,   60, 1008,  280,  30,  45,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  45,  45,  60
EP, 16, 2009091818,   , BEST,   0, 209N, 1149W,  35, 1004, TS,  34, NEQ,   30,    0,   15,   60, 1008,  280,  30,  45,   0,   E,   0,    ,   0,   0,      MARTY, D, 12, NEQ,  45,  45,  45,  60
EP, 16, 2009091900,   , BEST,   0, 216N, 1156W,  35, 1004, TS,  34, NEQ,   30,   15,    0,   50, 1009,  225,  30,  45,   0,   E,   0,    ,   0,   0,      MARTY, M, 12, NEQ,  30,  30,  30,  60
EP, 16, 2009091906,   , BEST,   0, 221N, 1163W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  225,  30,  40,   0,   E,   0,    ,   0,   0,      MARTY, M, 
EP, 16, 2009091912,   , BEST,   0, 224N, 1175W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  200,  30,  40,   0,   E,   0,    ,   0,   0,      MARTY, S, 
EP, 16, 2009091918,   , BEST,   0, 228N, 1185W,  25, 1004, TD,  34, NEQ,    0,    0,    0,    0, 1009,  175,  30,  35,   0,   E,   0,    ,   0,   0,      MARTY, S, 
