CP, 02, 2009081100, 03, CLP5,  72, 163N, 1775E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, CLP5,  84, 169N, 1751E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, CLP5,  96, 175N, 1728E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, CLP5, 108, 180N, 1709E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, CLP5, 120, 186N, 1689E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,   0, 132N, 1701W,  42, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,   6, 133N, 1716W,  45, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  12, 140N, 1730W,  40, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  18, 140N, 1746W,  40, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  24, 142N, 1759W,  46, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  30, 141N, 1775W,  41, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  36, 144N, 1784W,  33, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  42, 147N, 1797W,  33, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  48, 150N, 1797E,  36, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  54, 155N, 1785E,  37, 1005,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  60, 162N, 1777E,  34, 1006,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  66, 170N, 1768E,  44, 1004,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  72, 172N, 1757E,  39, 1005,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  78, 174N, 1749E,  41, 1003,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  84, 175N, 1745E,  48, 1003,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  90, 175N, 1742E,  41, 1003,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN,  96, 182N, 1744E,  51,  999,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN, 102, 191N, 1744E,  52,  996,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN, 108, 197N, 1737E,  49,  995,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN, 114, 202N, 1733E,  50,  994,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN, 120, 208N, 1728E,  51,  992,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, GFDN, 126, 213N, 1723E,  45,  991,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  12,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  24,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  36,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  48,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  60,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  72,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  84,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5,  96,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5, 108,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHF5, 120,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  12,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  24,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  36,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  48,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  60,   0N,    0W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, SHFR,  72,   0N,    0W,  65,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,   0, 135N, 1700W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  12, 142N, 1723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  24, 149N, 1747W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  36, 156N, 1771W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  48, 164N, 1796W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  60, 171N, 1780E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  72, 178N, 1756E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  84, 185N, 1731E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP,  96, 192N, 1706E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP, 108, 199N, 1682E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009081100, 03, XTRP, 120, 206N, 1657E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 02, 2009082618, 71, JNGP,   0, 114N, 1743W,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 02, 2009082618, 71, JNGP,  12, 122N, 1744W,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 02, 2009082618, 71, JNGP,  24, 135N, 1745W,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
