AL, 03, 2009081812,   , BEST,   0, 157N,  503W,  95,  963, HU,  64, NEQ,   40,   35,   30,   35, 1009,  250,  20, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 120, 250
AL, 03, 2009081818,   , BEST,   0, 162N,  517W, 100,  962, HU,  34, NEQ,  150,  150,  100,  150, 1009,  240,  25, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081818,   , BEST,   0, 162N,  517W, 100,  962, HU,  50, NEQ,   75,   75,   60,   60, 1009,  240,  25, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081818,   , BEST,   0, 162N,  517W, 100,  962, HU,  64, NEQ,   40,   35,   30,   35, 1009,  240,  25, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081900,   , BEST,   0, 169N,  529W, 105,  955, HU,  34, NEQ,  150,  150,  100,  150, 1008,  240,  20, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081900,   , BEST,   0, 169N,  529W, 105,  955, HU,  50, NEQ,   75,   75,   60,   75, 1008,  240,  20, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081900,   , BEST,   0, 169N,  529W, 105,  955, HU,  64, NEQ,   40,   35,   30,   35, 1008,  240,  20, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 225, 150, 250
AL, 03, 2009081906,   , BEST,   0, 176N,  542W, 115,  954, HU,  34, NEQ,  150,  150,  100,  150, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 210, 280
AL, 03, 2009081906,   , BEST,   0, 176N,  542W, 115,  954, HU,  50, NEQ,   75,   75,   60,   75, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 210, 280
AL, 03, 2009081906,   , BEST,   0, 176N,  542W, 115,  954, HU,  64, NEQ,   40,   35,   30,   35, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 210, 280
