AL, 18, 2011090618, 03, AEMN,  90, 235N,  895W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN,  96, 243N,  893W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 102, 245N,  894W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 108, 249N,  897W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 114, 256N,  897W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 120, 263N,  893W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 126, 269N,  889W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 132, 275N,  887W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 138, 286N,  882W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 144, 297N,  873W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 150, 303N,  864W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 156, 298N,  861W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 162, 303N,  857W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 168, 308N,  848W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AEMN, 174, 334N,  816W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,   0, 193N,  930W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,   6, 192N,  929W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  12, 190N,  931W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  18, 192N,  930W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  24, 192N,  928W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
