AL, 92, 2013083112, 03, BAMD, 120, 187N,  703W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD, 132, 196N,  721W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD, 144, 203N,  736W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD, 156, 210N,  747W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD, 168, 216N,  756W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  12, 151N,  561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  24, 150N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  36, 149N,  598W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  48, 147N,  614W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  60, 147N,  630W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  72, 149N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  84, 155N,  665W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM,  96, 164N,  685W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 108, 175N,  706W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 120, 186N,  728W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 132, 197N,  749W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 144, 208N,  769W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 156, 219N,  784W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMM, 168, 230N,  794W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  12, 152N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  24, 153N,  589W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  36, 154N,  610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  48, 152N,  633W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  60, 152N,  652W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  72, 154N,  675W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  84, 160N,  697W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS,  96, 167N,  722W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 108, 177N,  747W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 120, 185N,  774W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 132, 196N,  800W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 144, 204N,  823W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 156, 212N,  842W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMS, 168, 218N,  857W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,   0, 145N,  544W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,   6, 145N,  558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  12, 143N,  573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  18, 142N,  584W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  24, 146N,  597W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  30, 147N,  605W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  36, 147N,  611W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  42, 147N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  48, 149N,  631W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  54, 149N,  642W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  60, 151N,  640W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  66, 152N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  72, 155N,  657W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  78, 160N,  662W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  84, 171N,  667W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  90, 178N,  679W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN,  96, 181N,  692W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN, 102, 190N,  703W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CEMN, 108, 199N,  709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLIP,  12, 153N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLIP,  24, 158N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLIP,  36, 164N,  615W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLIP,  48, 172N,  638W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLIP,  72, 192N,  678W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  12, 154N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  24, 159N,  587W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  36, 166N,  608W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  48, 173N,  630W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  60, 183N,  649W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  72, 194N,  665W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  84, 203N,  681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5,  96, 213N,  695W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
