WP, 02, 2013021218, 03, ST5D,  24,   0N,    0E,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  36,   0N,    0E,  14,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  48,   0N,    0E,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  60,   0N,    0E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  72,   0N,    0E,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  84,   0N,    0E,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D,  96,   0N,    0E,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D, 108,   0N,    0E,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, ST5D, 120,   0N,    0E,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, STRT,  12,  50N, 1343E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, STRT,  24,  49N, 1324E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, STRT,  36,  48N, 1305E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, STRT,  48,  48N, 1287E,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, STRT,  72,  47N, 1250E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,   0,  45N, 1362E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,   6,  30N, 1360E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  12,  34N, 1353E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  18,  45N, 1341E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  24,  57N, 1319E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  30,  64N, 1292E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  36,  71N, 1264E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  42,  78N, 1232E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  48,  83N, 1200E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  54,  88N, 1175E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  60,  65N, 1155E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  66,  70N, 1137E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, WBAR,  72,  75N, 1116E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  12,  46N, 1351E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  24,  47N, 1340E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  36,  48N, 1329E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  48,  49N, 1318E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  60,  50N, 1307E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  72,  51N, 1296E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  84,  52N, 1285E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP,  96,  53N, 1274E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP, 108,  54N, 1263E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 03, XTRP, 120,  55N, 1252E,  15,    0,   ,   0,    ,    0,    0,    0,    0, 
WP, 02, 2013021218, 71, JNGP,   0,  20N, 1364E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
WP, 02, 2013021218, 71, JNGP,  12,  27N, 1338E,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
WP, 02, 2013021218, 71, JNGP,  24,  24N, 1306E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
WP, 02, 2013021218, 72, JAVN,   0,  32N, 1354E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
WP, 02, 2013021218, 72, JAVN,  12,  27N, 1339E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
WP, 02, 2013021218, 72, JAVN,  24,  24N, 1331E,  15,    0,   ,  34, NEQ,    0,    0,    0,    0, 
